59	MDT truncate MST DateUtils Utils hour oct lang result method buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare Enum compare ValuedEnum Valued Enum Object typesafe enums int values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils MONTH result DECEMBER Format returns Duration Calendar set getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	Test xFFFF FFFF unescape unescapeXml unescape Xml Xml FFFF test Unescape	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf size usages Str Builder reference places noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width method pad appendFixedWidthPadRight append Fixed Width Pad StrBuilder Str Builder Char append width strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number throws Digits isDigits Digits NumberFormatException Number Format Exception Utils create digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception Null LocaleUtils Locale Utils Set Pointer cAvailableSet Set isAvailableLocale Locale availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	getTime Time StopWatch Watch Watch acts suspend Time split bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils strings language rejects variant throws Utils exception	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds behaves TimeZone Time Zone getTime Time incorrectly Time Dates Calendar getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	escape Escape java escapeJavaScript escape Java Script StringEscapeUtils String Escape Utils JavaScriptUtils Java Script Utils Java script util Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement invalid false drop Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance Locale getDateTimeInstance Time Instance HashMap Hash Map FastDateFormat Fast Format locale Instance assume Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare don Big comparing EqualsBuilder Equals Builder Decimal BigDecimals Big Decimals BigDecimal Big Decimal correctly compareTo compare	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width handle StrBuilder Str Builder nulls null Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string abbreviate WordUtils Word Utils length upper str String greater bug Word	WordUtils abbreviate bug greater str length Word Utils
432	insensitive string String case Bugs sensitive intended Case handling Bug	case insensitive string handling
457	Number NumberUtils Number Utils createNumber create Number StringIndexOutOfBoundsException String Bounds Exception thows String Bounds passed Utils create	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended Message HashMap Hash Map dummy ExtendedMessageFormat Extended Message Format Map escaping custom	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters Characters escapeHtml escape Html StringEscapeUtils String Escape Utils incorrectly utf String escape Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils dec isNumber Number point number return Return Digit True	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar format Format TimeZone Time Zone Zone GregorianCalendar Gregorian Calendar DateFormatUtils Format Utils noformat dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replace StringUtils String Utils replacement replaceEach replace null Utils Assert result searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style remove memory ThreadLocals Thread Locals created HashCodeBuilder Hash Code Builder removed trigger builder String	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class ClassUtils Class Utils throws NPE null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils createNumber create Number throws StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format format locale Format Locale week firstDayOfWeek Day Week Simple simple SimpleDateFormat Simple Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction apache Integer Test commons case test org getDenominator Denominator Factory	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils isNumber Number String return Utils Java	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False isSameLocalTime Local Time DateUtils Utils Utils Local Assert class work method assert	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format SimpleDateFormat Simple Format formats year Java Javadoc Fast JDK adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number handle NumberUtils Number Utils upper Integer case hex	NumberUtils handle upper case hex Number Utils
747	Number numbers handle Long createLong create Long NumberUtils Number Utils create hex handles Integer	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils classLoader class Loader primitive primitiveType primitive Type ObjectInputStream Object Input Stream prim implement ClassNotFoundException Class Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int chars empty code Random false length count int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils throws confusing start RandomStringUtils Random String Utils Utils IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils createNumber create Number behaviour leading bad create checks	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	treats treat white FastDateParser Fast Parser space parse handle parsed Fast SimpleDateFormat Simple Format	FastDateParser handle white space properly Fast Parser
832	handle unterminated quotes works correctly format handled parse FastDateParser Fast Parser Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char work Escape CharSequence Char Sequence lookupMap lookup Map HashMap Hash Map Buffer accepts hash LookupTranslator Lookup Translator	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
