59	DateUtils Utils Calendar MDT assert truncate hour assertEquals assert Equals result oct switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued Enum int values typesafe compare compareTo compare commons apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Time Duration Calendar result MONTH set DECEMBER cal Format format	DurationFormatUtils returns wrong result Duration Format Utils
292	Test EntitiesTest Entities Test test unescape xFFFF FFFF unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity reference entity void	unescapeXml unescape Xml
295	length thisBuf Buf Str StrBuilder Str Builder LANG Builder noticed size Buf places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size pad width Char Pad strLen str Len padChar pad Char method Fixed	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number isDigits Digits createNumber create Number fine NumberUtils Number Utils numeric substring NumberFormatException Number Format Exception Digits string	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Find Locale availableLocaleSet Locale Set initialized pointed apache NullPointerException Null Pointer Exception Null	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time getTime Time time doesn shouldn counter increase pause acts	StopWatch suspend acts split Watch
328	Locale toLocale Locale variant LocaleUtils Locale Utils case PropertyConverter Property Converter string language Property POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar Time test minutes getTimeZone Time Zone getTime Time CDT testCalendar test Calendar behaves output	Dates behaves incorrectly minutes seconds
363	String JavaScriptUtils Java Script Utils Escape escape util Javascript JavascriptEscape Javascript Escape scripts Utils script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean assert case toBoolean Boolean false String test StringIndexOutOfBoundsException String Bounds Exception statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale locale getDateTimeInstance Time Instance getDateInstance Instance HashMap Hash Map Hash Instance key case test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction reduce loop numerator pretty Summary infinite	infinite loop Fraction reduce numerator
393	compare compareTo compare comparing BigDecimal Big Decimal Big EqualsBuilder Equals Builder don Equals equals BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width Fixed handle append set Builder nulls Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	Word string str String upper length abbreviate greater Bounds StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive String string Case sensitive html Common locale Bug	case insensitive string handling
457	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception String don place digit Bounds front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry border escaping append appendTo append borderStyle border Style formattedPattern formatted Pattern HashMap Hash Map	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html unicode characters utf escape Characters StringEscapeUtils String Escape Utils incorrectly displays	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number decimal Decimal hasDecPoint Dec Point isNumber Number Dec return Point NumberUtils Number Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar test format GregorianCalendar Gregorian Calendar Format problem GMT assert TimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replace replacementList replacement List replaceEach replace replacement searchList search List null StringUtils String Utils case assertEquals assert Equals	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	remove web webapp org ToStringStyle String Style memory created String Thread thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws ClassUtils Class Utils NPE null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number String StringIndexOutOfBoundsException String Bounds Exception passed Exception throws argument NumberFormatException Number Format Exception indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Week Locale FastDateFormat Fast Format output format locale program test SimpleDateFormat Simple Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction case getDenominator Denominator assert borderStyle border Style FractionTest Fraction Test Integer test border int	org apache commons lang math Fraction reduce Integer MIN
664	Number hasExp Exp hasDecPoint Dec Point code isNumber Number String return chars Dec Exp	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False isSameLocalTime Local Time DateUtils Utils Utils Time Calendar Assert cal method assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java pattern Javadoc year Fast bug behavior	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number Integer NumberUtils Number Utils upper NumberFormatException Number Format Exception decode Format handles work	NumberUtils handle upper case hex Number Utils
747	Number create NumberUtils Number Utils createLong create Long Long handle numbers Integer handles hex	NumberUtils handle Long Hex numbers Number Utils
788	Class bug Serialization ObjectInputStream Object Input Stream primitive SerializationUtils Serialization Utils primitiveType primitive Type catch ClassNotFoundException Class Exception classLoader class Loader	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int empty Random chars code lang array start Bounds	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random nextInt Int confusing throws Utils Argument lang start Illegal Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Big behaviour create leading Decimal nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse treat parsed treats white space Fast FastDateParser Fast Parser FDP dates	FastDateParser handle white space properly Fast Parser
832	format unterminated parse quotes handle works Simple correctly Parser fail	FastDateParser handle unterminated quotes correctly Fast Parser
882	String Char CharSequence Char Sequence work CharBuffer Char Buffer equals hashCode hash Code Escape implemented lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
