59	DateUtils Utils MDT truncate Calendar hour oct lang MST result method	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum Valued Object typesafe enums int values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration getTimeInMillis Time Millis result currentTimeMillis current Time Millis returns Calendar set Time wrong	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape testNumberOverflow test Number Overflow Number unescapeXml unescape Xml xFFFF FFFF FFFF Unescape Test Xml EntitiesTest Entities Test	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length usages Builder reference places noticed Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	append appendFixedWidthPadRight append Fixed Width Pad str ArrayIndexOutOfBoundsException Array Bounds Exception method Array width StrBuilder Str Builder appendFixedWidthPadLeft append Fixed Width Pad Left class	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception throws Utils Digits create isDigits Digits Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Set availableLocaleSet Locale Set Pointer lang initialized	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch suspend pause acts continue split getTime Time bug Time	StopWatch suspend acts split Watch
328	toLocale Locale Locale LocaleUtils Locale Utils language strings rejects country variant throws toString String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds behaves TimeZone Time Zone incorrectly getTime Time Dates getTimeZone Time Zone GMT	Dates behaves incorrectly minutes seconds
363	escape escapeJavaScript escape Java Script Escape String StringEscapeUtils String Escape Utils javaScriptEscape java Script Escape Java JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape Javascript	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case false Utils statement invalid drop Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale FastDateFormat Fast Format Instance locale Time assume	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Summary Fraction reduce infinite numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Decimal don Big comparing EqualsBuilder Equals Builder BigDecimals Big Decimals correctly compareTo compare	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width handle null StrBuilder Str Builder nulls Str getNullText Null Text Builder append	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils abbreviate Word string str upper greater length String substring	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bug case string Bugs intended handling html String sensitive	case insensitive string handling
