59	DateUtils Utils DAY oct MDT truncate Calendar hour result assert switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare int enums compare typesafe values Enum commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration Time DurationFormatUtils Duration Format Utils currentTimeMillis current Time Millis result getTimeInMillis Time Millis set cal Format	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void test testNumberOverflow test Number Overflow Unescape Exception doTestUnescapeEntity Test Unescape Entity unescape reference EntitiesTest Entities Test	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf Builder noticed LANG length Buf places shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	width str size pad appendFixedWidthPadRight append Fixed Width Pad Char append padChar pad Char Array StrBuilder Str Builder	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception numeric isDigits Digits fine NumberUtils Number Utils substring string empty	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set Locale Null availableLocaleSet Locale Set LocaleUtils Locale Utils initialized lang pointed Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend StopWatch Watch Time pause Watch time resume doesn sleep shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils variant case country string POSIX strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test TimeZone Time Zone testCalendar test Calendar getTimeZone Time Zone CDT DateUtils Utils seconds	Dates behaves incorrectly minutes seconds
363	Java Escape escapeJavaScript escape Java Script Script JavascriptEscape Javascript Escape String escape scripts Javascript JavaScriptUtils Java Script Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean StringIndexOutOfBoundsException String Bounds Exception String BooleanUtils Boolean Utils false test case toBoolean Boolean Exception assert	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance locale getDateInstance Instance Locale Instance key Fast Format FastDateFormat Fast Format case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary reduce loop Fraction pretty infinite numerator	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compare compareTo compare Big comparing equals don Decimal correctly Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null getNullText Null Text appendFixedWidth append Fixed Width Fixed exception handle append set Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str String upper Word abbreviate greater WordUtils Word Utils substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs html Bug insensitive Common locale Case String sensitive http	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String throws Number don Bounds createNumber create Number place digit front	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
