59	DateUtils Utils Calendar switching method MST dealing assertEquals assert Equals MDT Utils assert	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compare compareTo compare Enum enums values Valued	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	getTimeInMillis Time Millis currentTimeMillis current Time Millis Duration DurationFormatUtils Duration Format Utils MONTH Format DECEMBER format Time Calendar	DurationFormatUtils returns wrong result Duration Format Utils
292	testNumberOverflow test Number Overflow xFFFF FFFF EntitiesTest Entities Test Number FFFF unescapeXml unescape Xml test Test Unescape unescape	unescapeXml unescape Xml
295	Str thisBuf Buf StrBuilder Str Builder length Buf size	StrBuilder usages thisBuf length size Str Builder Buf
299	append str padChar pad Char ArrayIndexOutOfBoundsException Array Bounds Exception Array Char width appendFixedWidthPadLeft append Fixed Width Pad Left Str pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception Digits digit works string numeric isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set Locale LocaleUtils Locale Utils NullPointerException Null Pointer Exception Null availableLocaleSet Locale Set FindBugs Find Bugs initialized constructor lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	pause StopWatch Watch getTime Time Watch Time suspend continue	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country PropertyConverter Property Converter String LocaleUtils Locale Utils toString String JDK POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds getTimeZone Time Zone Jul TimeZone Time Zone testCalendar test Calendar GMT getTime Time appears	Dates behaves incorrectly minutes seconds
363	JavaScriptUtils Java Script Utils Javascript JavascriptEscape Javascript Escape javaScriptEscape java Script Escape String Java escapeJavaScript escape Java Script escape Escape Javascripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils Exception assert method assertEquals assert Equals false Utils statement invalid	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale HashMap Hash Map locale Hash Instance Time FastDateFormat Fast Format items	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary Fraction numerator	infinite loop Fraction reduce numerator
393	compare comparing BigDecimal Big Decimal compareTo compare equals Decimal Decimals BigDecimals Big Decimals Equals EqualsBuilder Equals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null getNullText Null Text null appendFixedWidth append Fixed Width Str StrBuilder Str Builder Text Width append	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String Word substring WordUtils Word Utils str upper greater abbreviate	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug string insensitive html String sensitive http Case case	case insensitive string handling
457	createNumber create Number StringIndexOutOfBoundsException String Bounds Exception digit Number LANG Exception NumberUtils Number Utils String create Bounds	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message ExtendedMessageFormat Extended Message Format Format format formatRegistry format Registry HashMap Hash Map java borderStyle border Style ExtendedMessageFormatTest Extended Message Format Test formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	utf escapeHtml escape Html unicode Characters String StringEscapeUtils String Escape Utils character Html COUNTING represented	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number decimal Number NumberUtils Number Utils Decimal hasExp Exp isNumber Number works dec True	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	TimeZone Time Zone Calendar Time getTimeZone Time Zone GregorianCalendar Gregorian Calendar GMT dateTime Time noformat problem assert	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement replacementList replacement List String replaceEach replace replace StringUtilsTest String Utils Test searchList search List junit Utils Assert	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	Hash ToStringStyle String Style removed webapp memory loading ThreadLocals Thread Locals application thread Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Utils Object Class ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Number StringIndexOutOfBoundsException String Bounds Exception create	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Week firstDayOfWeek Day Week FastDateFormat Fast Format week Locale minimalDaysInFirstWeek minimal Days Week SimpleDateFormat Simple Format Format Days output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction FractionTest Fraction Test test getDenominator Denominator Integer Test Denominator gcd borderStyle border Style Style	org apache commons lang math Fraction reduce Integer MIN
664	Number Digit hasExp Exp NumberUtils Number Utils isNumber Number foundDigit Digit code java hasDecPoint Dec Point Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time method DateUtils Utils assertFalse assert False Assert Utils setTimeInMillis set Time Millis assert	DateUtils isSameLocalTime work correct Utils Local Time
719	year Javadoc Format YYY JDK FastDateFormat Fast Format format SimpleDateFormat Simple Format formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils Integer NumberFormatException Number Format Exception create	NumberUtils handle upper case hex Number Utils
747	Integer Number createNumber create Number NumberUtils Number Utils numbers createLong create Long handles create handle Utils	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class primitiveTypeClassSerialization primitive Type Class Serialization ObjectInputStream Object Input Stream resolveClass resolve Class primitiveType primitive Type ObjectStreamClass Object Stream Class class ClassNotFoundException Class Exception Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	char length empty Int null useless size int RandomStringUtils Random String Utils nextInt Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random RandomStringUtils Random String Utils Int nextInt Int Utils String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number Decimal NumberUtils Number Utils BigDecimal Big Decimal create NumberFormatException Number Format Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse SimpleDateFormat Simple Format FastDateParser Fast Parser treat treats parsed FDP SDP	FastDateParser handle white space properly Fast Parser
832	quotes parse SimpleDateFormat Simple Format works format handle unterminated Parser Simple correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharBuffer Char Buffer char CharSequence Char Sequence lookupMap lookup Map HashMap Hash Map toCharArray Char Array implementation implements	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
