59	Utils MDT Calendar method switching Equals assertEquals assert Equals dealing DateUtils Utils lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum ValuedEnum Valued Enum compareTo compare values typesafe compare classes Object org lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Calendar getTimeInMillis Time Millis DurationFormatUtils Duration Format Utils currentTimeMillis current Time Millis String Time Format MONTH Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test testNumberOverflow test Number Overflow Test unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity xFFFF FFFF Entity reference Number	unescapeXml unescape Xml
295	length Str thisBuf Buf Buf StrBuilder Str Builder Builder size LANG shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size Width width padChar pad Char Char Str Fixed obj pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberFormatException Number Format Exception createNumber create Number Number NumberUtils Number Utils works string digit Exception Format Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	FindBugs Find Bugs Locale Null NullPointerException Null Pointer Exception Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils constructor Exception availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time pause StopWatch Watch time Watch counter shouldn acts opinion	StopWatch suspend acts split Watch
328	language Locale country toLocale Locale PropertyConverter Property Converter POSIX LocaleUtils Locale Utils case String code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar seconds minutes Jul testCalendar test Calendar getTimeZone Time Zone test DateUtils Utils System TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	String Utils Java Javascripts Escape scripts println Javascript JavascriptEscape Javascript Escape javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean Exception BooleanUtils Boolean Utils Utils toBoolean Boolean statement case assert assertEquals assert Equals method	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale getDateInstance Instance getDateTimeInstance Time Instance Instance Hash Locale Time HashMap Hash Map FastDateFormat Fast Format case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction numerator loop	infinite loop Fraction reduce numerator
393	compareTo compare Decimals Big compare Decimal comparing BigDecimal Big Decimal equals EqualsBuilder Equals Builder BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	getNullText Null Text appendFixedWidth append Fixed Width StrBuilder Str Builder pointer width Str Null Builder Width Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String str substring length Word StringIndexOutOfBoundsException String Bounds Exception Utils Exception upper	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String http Case string insensitive locale Bug sensitive case	case insensitive string handling
457	createNumber create Number Number Exception String NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception front Bounds Utils LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format java ExtendedMessageFormat Extended Message Format Format Message formatRegistry format Registry borderStyle border Style appendTo append escapingOn escaping HashMap Hash Map	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html StringEscapeUtils String Escape Utils characters utf COUNTING Escape Characters unicode escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number hasExp Exp number isNumber Number Decimal Point NumberUtils Number Utils point Dec return	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone TimeZone Time Zone test problem Format noformat format GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils replacement String replacementList replacement List replaceEach replace searchList search List Test junit Assert List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	Hash application ThreadLocals Thread Locals webapp Thread web org memory reload String	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Utils Class Object NPE element ClassUtils Class Utils array	ClassUtils toClass Object throws NPE null array element Class Utils Class
