59	DateUtils Utils MDT Calendar truncate hour result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare int typesafe compare enums commons Enum values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time Calendar getTimeInMillis Time Millis result currentTimeMillis current Time Millis DurationFormatUtils Duration Format Utils set cal Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	testNumberOverflow test Number Overflow Test Number test xFFFF FFFF Unescape EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity unescape reference	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length LANG Builder noticed places shouldn mistaken	StrBuilder usages thisBuf length size Str Builder Buf
299	append str width ArrayIndexOutOfBoundsException Array Bounds Exception appendFixedWidthPadRight append Fixed Width Pad Array pad size method strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception numeric isDigits Digits fine NumberUtils Number Utils substring string empty	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set Null LocaleUtils Locale Utils initialized lang availableLocaleSet Locale Set pointed Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend pause StopWatch Watch Watch Time time doesn shouldn counter increase	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils variant case country string POSIX strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes TimeZone Time Zone test Time testCalendar test Calendar getTimeZone Time Zone CDT seconds behaves	Dates behaves incorrectly minutes seconds
363	Escape escape String JavaScriptUtils Java Script Utils javaScriptEscape java Script Escape escapeJavaScript escape Java Script JavascriptEscape Javascript Escape Java Javascript script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils false case toBoolean Boolean String test StringIndexOutOfBoundsException String Bounds Exception statement follow	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance getDateInstance Instance Locale locale Instance key case test Fast Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary reduce loop Fraction pretty infinite numerator	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compare comparing compareTo compare Big equals don Decimal correctly Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null getNullText Null Text appendFixedWidth append Fixed Width Fixed handle append set Builder nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	Word string String str upper WordUtils Word Utils greater length abbreviate substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs html Bug insensitive Common locale Case String sensitive http	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception digit String Number LANG don createNumber create Number Bounds place Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	ExtendedMessageFormat Extended Message Format Format format Extended formatRegistry format Registry ExtendedMessageFormatTest Extended Message Format Test Message String code QUOTE	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode escapeHtml escape Html utf String characters StringEscapeUtils String Escape Utils incorrectly escape displays problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number decimal Number isNumber Number Decimal return chars exponent trailing Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar TimeZone Time Zone Time GMT dateTime Time GregorianCalendar Gregorian Calendar noformat test Format format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace replacementList replacement List replace StringUtils String Utils Test null case result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org created String LANG leak Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String passed Exception NumberUtils Number Utils throws argument	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format SimpleDateFormat Simple Format Week week locale Locale Fast format output set	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction test getDenominator Denominator Integer Reduced FractionTest Fraction Test MIN method Denominator result	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number Digit code hasExp Exp String return NumberUtils Number Utils chars Dec	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils Calendar cal method set HOUR assertFalse assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	year YYY Java pattern SimpleDateFormat Simple Format Fast JDK FastDateFormat Fast Format bug Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number Integer NumberUtils Number Utils NumberFormatException Number Format Exception upper decode Format handles work	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers NumberUtils Number Utils createNumber create Number create createLong create Long Long hex handle	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils ObjectInputStream Object Input Stream primitive ClassNotFoundException Class Exception primitiveType primitive Type class primitiveTypeClassSerialization primitive Type Class Serialization noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random null empty Int chars char array length lang code	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils confusing throws Argument lang start Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal create Big behaviour leading nulll work check	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse parsed white space Fast SimpleDateFormat Simple Format dates fail Javadoc	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format parse format unterminated Simple Fast handle handled parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence CharBuffer Char Buffer char code translate quote StringEscapeUtils String Escape Utils toString String	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
