59	DateUtils Utils Calendar truncate MDT assertEquals assert Equals hour oct lang MST result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum compare Valued Object typesafe values int enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration DurationFormatUtils Duration Format Utils Time result MONTH returns Format DECEMBER Calendar set	DurationFormatUtils returns wrong result Duration Format Utils
292	unescapeXml unescape Xml unescape EntitiesTest Entities Test Test Xml xFFFF FFFF FFFF test Unescape Entities	unescapeXml unescape Xml
295	length thisBuf Buf StrBuilder Str Builder usages Str Buf Builder reference size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Fixed Width method pad size appendFixedWidthPadRight append Fixed Width Pad StrBuilder Str Builder Bug append	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number throws Digits NumberFormatException Number Format Exception isDigits Digits Utils create digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils NullPointerException Null Pointer Exception Null availableLocaleSet Locale Set Set FindBugs Find Bugs Pointer Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend StopWatch Watch Watch getTime Time acts Time split pause bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils strings PropertyConverter Property Converter language Property rejects variant throws	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds behaves getTimeZone Time Zone getTime Time Time incorrectly Dates test	Dates behaves incorrectly minutes seconds
363	String escape Escape StringEscapeUtils String Escape Utils escapeJavaScript escape Java Script java Javascript Java Utils JavaScriptUtils Java Script Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case assert Utils statement invalid false drop	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale HashMap Hash Map locale FastDateFormat Fast Format Instance Hash assume Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare EqualsBuilder Equals Builder comparing don BigDecimal Big Decimal BigDecimals Big Decimals Big Decimal compareTo compare Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width handle StrBuilder Str Builder nulls null Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string Word WordUtils Word Utils str abbreviate length upper String greater bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive string String Bugs case sensitive Case intended handling Bug	case insensitive string handling
457	createNumber create Number Number NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception thows String Bounds passed Utils create	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry HashMap Hash Map Extended Message ExtendedMessageFormat Extended Message Format dummy borderStyle border Style border	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
