59	MDT MST truncate hour DateUtils Utils result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued ValuedEnum Valued Enum Enum int typesafe compare enums compareTo compare commons values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	MONTH Calendar DurationFormatUtils Duration Format Utils DECEMBER result set Duration cal Format getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	Test xFFFF FFFF test doTestUnescapeEntity Test Unescape Entity unescape reference entity void Entity testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length Str StrBuilder Str Builder size thisBuf Buf LANG Builder noticed places shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad strLen str Len width Char method size StrBuilder Str Builder append Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number isDigits Digits fine Digits numeric substring NumberFormatException Number Format Exception string createNumber create Number empty	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils initialized pointed cAvailableSet Set Find apache NullPointerException Null Pointer Exception Null	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time suspend time doesn shouldn counter increase acts bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant case string language POSIX strings Configuration	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Time minutes TimeZone Time Zone Calendar test getTime Time CDT behaves output produces	Dates behaves incorrectly minutes seconds
363	JavaScriptUtils Java Script Utils util Escape escape java script String Java Spring javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean case toBoolean Boolean false String test StringIndexOutOfBoundsException String Bounds Exception statement follow	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale locale getDateTimeInstance Time Instance getDateInstance Instance HashMap Hash Map Instance key case test Fast	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction reduce loop numerator pretty Summary infinite	infinite loop Fraction reduce numerator
393	compare comparing compareTo compare Big BigDecimal Big Decimal don equals correctly Equals case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width Fixed handle append set Builder nulls Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String upper length str abbreviate Word greater Bounds StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive string String sensitive Case Common html locale intended	case insensitive string handling
457	Number StringIndexOutOfBoundsException String Bounds Exception String don createNumber create Number place digit NumberUtils Number Utils Bounds front	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format Map escaping appendTo append append formattedPattern formatted Pattern String dummy Dummy	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters utf escape Characters String incorrectly displays problem escapeHtml escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Number dec decimal point return Dec Point chars exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone noformat format Format GregorianCalendar Gregorian Calendar zone dateTime Time GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
