90428	748
125572	3
134483	26
165815	-1
172958	7
192574	8
196007	1313
198043	369
198334	91
198731	310
199259	-1
199309	1377
204329	94
205532	91
208667	1
221053	76
222824	1
222868	98
233808	-1
238970	-1
242950	3
250717	754
254833	3
255329	75
255347	62
255352	9
257926	2
258488	1328
259233	177
259389	102
265551	31
266120	140
267481	1
270332	3
273135	82
282667	173
296107	-1
302394	1
302407	2
314558	77
316595	247
318075	170
327029	23
327060	1799
327379	3
327582	50
328772	2
328998	-1
328999	-1
329054	-1
331740	22
332852	2
337345	158
337643	188
342002	-1
342352	1
342782	5
369023	4
371768	4
406064	-1
408030	46
414448	-1
419902	-1
420433	63
426497	2
464701	2727
471541	-1
485482	12
