59	MDT DAY hour Utils oct DST DateUtils Utils Equals hours buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe int org ValuedEnum Valued Enum apache values classes Object lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Time Duration Utils set Period DurationFormatUtils Duration Format Utils result String DAY	DurationFormatUtils returns wrong result Duration Format Utils
292	Entity test Test doTestUnescapeEntity Test Unescape Entity reference entity EntitiesTest Entities Test Unescape testNumberOverflow test Number Overflow unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG Buf size shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	obj Pad width str size Width int method appendFixedWidthPadRight append Fixed Width Pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Format substring numeric NumberFormatException Number Format Exception createNumber create Number string Utils Exception digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Null Pointer Locale NullPointerException Null Pointer Exception apache Exception Bugs FindBugs Find Bugs cAvailableLocaleSet Locale Set initialized	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	time suspend Time counter shouldn acts bug pause resume StopWatch Watch	StopWatch suspend acts split Watch
328	Locale code toLocale Locale language case Configuration LocaleUtils Locale Utils variant POSIX country	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar System test Mon seconds Jul CDT Time println	Dates behaves incorrectly minutes seconds
363	String org Escape Script escape Utils script util Spring str	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean String toBoolean Boolean case BooleanUtils Boolean Utils Utils test statement StringIndexOutOfBoundsException String Bounds Exception source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Format locale case Time Instance getDateTimeInstance Time Instance key Fast Locale changed	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction pretty infinite Summary numerator	infinite loop Fraction reduce numerator
393	Big compare compareTo compare BigDecimal Big Decimal comparing Decimal don Decimals Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	nulls Fixed null appendFixedWidth append Fixed Width Builder pointer getNullText Null Text width Null Width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String str length StringIndexOutOfBoundsException String Bounds Exception substring Word upper abbreviate Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String Case insensitive locale string http sensitive html Bug	case insensitive string handling
