59	MDT Utils hour Equals DateUtils Utils DST lang buggy Calendar switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum typesafe Enum values compareTo compare classes Object int lang org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration DurationFormatUtils Duration Format Utils Time set String getTimeInMillis Time Millis Dec Utils result	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test doTestUnescapeEntity Test Unescape Entity Test Entity reference entity testNumberOverflow test Number Overflow Unescape unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG Buf shouldn size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size width obj padChar pad Char pad Width method Pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberFormatException Number Format Exception Number createNumber create Number string Format Exception works substring digit Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception FindBugs Find Bugs Bugs Exception cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Pointer constructor	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts StopWatch Watch Watch bug getTime Time pause	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country LocaleUtils Locale Utils POSIX case PropertyConverter Property Converter code string	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test seconds testCalendar test Calendar Jul Mon println DateUtils Utils CDT	Dates behaves incorrectly minutes seconds
363	String Utils Escape Java println scripts org script escape Spring	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case Exception test statement String Utils source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance getDateTimeInstance Time Instance getDateInstance Instance case Locale Hash Format Time FastDateFormat Fast Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce pretty Summary infinite	infinite loop Fraction reduce numerator
393	compareTo compare Big Decimals BigDecimal Big Decimal compare Decimal equals EqualsBuilder Equals Builder comparing Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	getNullText Null Text appendFixedWidth append Fixed Width pointer Fixed Builder width Null StrBuilder Str Builder null Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
