59	MDT hour Utils HOUR DAY DST DateUtils Utils Equals hours buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe values classes ValuedEnum Valued Enum int org compareTo compare commons apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar set Duration Time DurationFormatUtils Duration Format Utils MONTH result DAY String Format	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test Unescape testNumberOverflow test Number Overflow unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG size shouldn places Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	width str Pad size obj int pad method appendFixedWidthPadRight append Fixed Width Pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	numeric Number NumberFormatException Number Format Exception substring Format createNumber create Number string Exception Utils fine	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception Bugs Pointer source apache Exception Set Field	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn suspend acts resume bug StopWatch Watch doesn	StopWatch suspend acts split Watch
328	Locale toLocale Locale POSIX language case LocaleUtils Locale Utils country JDK string variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds test Mon Jul CDT Time println DateUtils Utils	Dates behaves incorrectly minutes seconds
363	Escape escape String Utils Java script util org Spring println	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	toBoolean Boolean BooleanUtils Boolean Utils case Boolean String source statement test StringIndexOutOfBoundsException String Bounds Exception Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance Locale case Format methods Hash getDateTimeInstance Time Instance Time getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction pretty infinite Summary numerator	infinite loop Fraction reduce numerator
393	Big compare compareTo compare BigDecimal Big Decimal comparing Decimal don Decimals Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	pointer Builder Null appendFixedWidth append Fixed Width getNullText Null Text exception width Fixed set nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length String str StringIndexOutOfBoundsException String Bounds Exception Word upper abbreviate Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case String http locale string Bug html insensitive case	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Bounds Number createNumber create Number don Exception front thows Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format QUOTE ExtendedMessageFormat Extended Message Format code Extended String formatRegistry format Registry formattedPattern formatted Pattern appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode escape String COUNTING problem org Escape escapeHtml escape Html Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number return isNumber Number point code Exp Point exponent Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Format format Calendar Time test zone Zone TimeZone Time Zone noformat problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String case replaceEach replace replace Test StringUtils String Utils Utils org replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	String org web memory ToStringStyle String Style thread LANG application Style reload	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Object array Utils element null throws ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String Exception Number createNumber create Number StringIndexOutOfBoundsException String Bounds Exception argument NumberFormatException Number Format Exception indicators throws Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week Week locale year FastDateFormat Fast Format Simple format SimpleDateFormat Simple Format set	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	case test Fraction MIN Integer method code void getReducedFraction Reduced Fraction getDenominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	code Number String hasExp Exp return hasDecPoint Dec Point Digit Dec Java change	NumberUtils isNumber String String Number Utils Number
677	HOUR isSameLocalTime Local Time Calendar Time Utils DateUtils Utils Local method False DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	Format pattern Java SimpleDateFormat Simple Format year bug number formatted formats Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number handles NumberFormatException Number Format Exception Integer case createNumber create Number Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Long Integer Number hex numbers createLong create Long handles handle createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class class ClassNotFoundException Class Exception Serialization noformat Exception Object SerializationUtils Serialization Utils String ObjectInputStream Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code Random start Int ends array length gap char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Argument Random Utils Illegal source String start lang throws RandomUtils Random Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal createNumber create Number work nulll Format behaviour leading invocations	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Parser FDP FastDateParser Fast Parser parse dates treat space parsed Format Javadoc	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple unterminated handle works Format Parser correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	work CharSequence Char Sequence Char String implemented Utils code equals CharBuffer Char Buffer Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
