59	MDT Utils Equals hour DAY DST DateUtils Utils hours lang buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe Enum classes values ValuedEnum Valued Enum int compareTo compare org Object lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Duration String Time set getTimeInMillis Time Millis result Dec Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	test doTestUnescapeEntity Test Unescape Entity EntitiesTest Entities Test Test Entity reference entity testNumberOverflow test Number Overflow void Unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG Buf noticed size shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	str width size int Pad obj Width pad Len padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception createNumber create Number Format string Exception works substring digit NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception FindBugs Find Bugs Exception Bugs cAvailableLocaleSet Locale Set Pointer LocaleUtils Locale Utils org	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts StopWatch Watch sleep bug Watch pause	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country LocaleUtils Locale Utils case POSIX Utils PropertyConverter Property Converter code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test Time Mon println testCalendar test Calendar Jul DateUtils Utils CDT	Dates behaves incorrectly minutes seconds
363	String Escape Utils Java Script org scripts script Spring println	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case BooleanUtils Boolean Utils toBoolean Boolean Exception String test statement Utils StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance Format case getDateTimeInstance Time Instance getDateInstance Instance FastDateFormat Fast Format Hash Time methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop infinite reduce numerator pretty Summary	infinite loop Fraction reduce numerator
393	Big compareTo compare BigDecimal Big Decimal compare Decimals EqualsBuilder Equals Builder Decimal BigDecimals Big Decimals Builder Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text Builder pointer Fixed width Null StrBuilder Str Builder exception null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string String StringIndexOutOfBoundsException String Bounds Exception substring Exception Word upper Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs http String locale Case case Bug string sensitive handling	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception front Number Exception Bounds createNumber create Number Utils NumberUtils Number Utils place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format code String ExtendedMessageFormat Extended Message Format Extended formattedPattern formatted Pattern appendTo append formatRegistry format Registry java	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
