90428	Jabber user ECF action login Provider hotmail Character group org	Bug Jabber Provider Character allowed Jabber login names
125572	SOContainer Sync Client Initiator ECF provider SyncSOClientContainer Sync SOClient Container IConnectContext IConnect Context Task Time	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client ClientApplication Client Application Application Factory Container ContainerFactory Container Factory Excepton Eclipse Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug bugs assertion https access Service refsOne Woodward Paul IConcat	Bug Local access local remoteservicereference implemented
172958	Bug Patch work Containers IRC setup Channel command Container Root	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Bug Communications empty Apply affect	Bug Communications preference isn empty
196007	pictures Presence support Hover display parse XMPP Bug hover highlights	Bug Presence Hover highlights support pictures
198043	groups dialog contacts list Bug entries doesn users recognizer open	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings ChatRoomManagerView Chat Room Manager View Room Manager Chat Messages Bug CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc Chatroom Bug IRC move foobar channel hyperlink recognition	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors class Info discovery Service parameters bug Bug cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection channel chatroom editor problems irc IRC freenode eclipse Bug	Bug IRC Wrong connection click hyperlink
204329	adapter client Adapter replica Bug remoteContainerTwo remote Container getAdapter Adapter container registry replication	Bug remoteservice registry updated adapter accessed connect
205532	chat URL channel subject account box topic hyperlinking cases permissions	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn client presence Update Personal Presence Status UNAVAILABLE getStatus Status	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message packet null message Presence XMPPContainerPresenceHelper XMPPContainer Presence Helper server form packetExtensions packet Extensions XMPPContainer	Bug message XMPP Server displayed
222824	port Google user default Bug provider talk catch work Host	Bug XMPP doesn work port Google Talk Host
222868	password mail MSN Bug connection wizard button Select entered Steps	Bug MSN mail password entered Finish button clicked
233808	Test Listener IService provider Discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener test Service SLP discovery	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage Eclipse bit bug guess report seconds Bug	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannel Container IRCChannelContainer IRCChannel Container target NPE Exception version plugin provider	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core mailing URI CDC class dev eclipse java	Bug api add IResourceID IResource
254833	Bundle consumer system BundleContext Bundle Context service jslp org Context eclipse container	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService getServiceName Service IService Service registerService register Service thorws JMDNSDiscoveryContainer JMDNSDiscovery Container org SLP JMDNSDiscovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service discovery service getServiceName Service IServiceID IService isn fall fine Discovery SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	weight JMDNS priority exchanges Info IService Service Container JMDNSDiscoveryContainer JMDNSDiscovery Container provider	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	IServiceInfo IService Info JSLPServiceInfo JSLPService Info JSLPService SecurityException Security Exception doesn IService Security Info jslp lang	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error code EMF Graphical Eclipse Framework Modelling Release SDK Install	NPE status code
259233	discovery Discovery URI JMDNS segment path Bug lost	Bug Discovery JMDNS URI path lost discovery
259389	Bug func SLP aid scope case sourceforge detail tracker php	Bug Discovery SLP lookup scope case insensitive
265551	tests TIME Pause Test resource Http transfer case read HttpClient Http Client	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes authority getServiceTypeIDs Service Type IDs ECF Service Zeroconf service Discovery Type JmDNS DNS	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter server Container class support Service Server plugin IRemote	Bug server supporrt remoteservice container adapter generic server
270332	patch problems meaning Remy attachment details Shares docshare group Doc	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation StringBuffer String Buffer Service Log Buffer LogService Log Service message parameter String details	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer Extension Point Points class ExtensionPoint Extension Point impl bug service Code	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv SLP version messages Bug versions jSLP SLP formats Discovery protocol	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	attribute HTAB parser tags Bug jSLP SLP SLP Discovery Test bad	Bug Discovery jSLP Test parser bad tags SLP
302407	Service Impl exception java org inheritance Sync ecf type Remote	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DNS DiscoveryTestsWithoutRegister Discovery Tests Register Register Bug checks Tests suite	Bug Discovery DNS Add API checks null test suite
316595	service Bug Defer retrieval Discovery test instances unit tests retrieving	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces property Property IService Bug Discovery IServiceProperty IService Property allowed	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service Service foo method OSGi rosgi Proxy stub Smart rosgiFoo rosgi Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	eclipse html location mhonarc solution dev mailing org bug Bug	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory IRemoteCallFactory IRemote Call Factory Factory remoteservice Remote factory IRemote RemoteCalls Remote Calls Call RestCallFactory Rest Call Factory	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References idFilter Filter implementation Service osgi Filter parameter Remote References String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable Throwable SerializableStatus Serializable Status core org Status eclipse ecf checkForSerializable check Serializable IMO	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container Type discovery ecf Description eclipse provider	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery hostname ServiceResource Service Resource hostnames Service NPE org Resource resource Address	Bug Discovery resilient broken hostnames
329054	provider Container CompositeDiscoveryContainer Composite Discovery Container containers ecf CDC ContainerConnectException Container Connect Exception providers Exceptions Discovery	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container CompositeDiscoveryContainer Composite Discovery Container Containers Composite Discovery DiscoveryContainers Discovery Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery Container Activator startup BundleActivator Bundle Activator Bundle start Zookeeper Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	osgi Service devsosgi service Container ERROR endpoint DEBUG objectClass object Class services	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service propsA props props ecf ServiceA Service property Endpoint class EndpointDescription Endpoint Description	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service IRemote Parameters Factory service status adapter restCall rest Call class Container	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property foo intent properties Property exports Bug service private	Bug TCK RSA exports private properties
342782	RSA TCK bundle properties events symbolicname version Bug event spec	Bug TCK RSA events set properties incorrectly
369023	Trace method util pluginId plugin plugin org option git framework java	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service watchmanager NPE Bug Zoodiscovery unpublish Harmless thrown needed annoying	Bug Zoodiscovery NPE unpublishing service
406064	client percentage Discovery server CPU Zoo zookeeper zoodiscovery Bug cpu	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service Service Client UTF remoteservice org ecf content eclipse client	Bug RestClientService ignores content encoding Rest Client Service
414448	error registration importService import Service Service import configs Admin RemoteServiceAdmin Remote Service Admin Bug Remote	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ethz NPE Impl Endpoint Channel OSGi String Bug impl ChannelEndpointImpl Channel Endpoint Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE Message service NPE Channel Remote handleMessage handle Message instance RemoteOSGiMessage Remote OSGi Message	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Listener register discovery org listener type ecf eclipse Discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client case event Thread application ClientCnxn Client Cnxn Exception	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service JVM test forums possibility exception unit JUnit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	distribution org Discovery ecf eclipse dev Bug Composite release implementations	Bug remove code org eclipse ecf provider discovery
