90428	Jabber user Character login button Provider hotmail action Finish group	Bug Jabber Provider Character allowed Jabber login names
125572	app provider Sync ECF Client SOContainer Time TimeSyncInitiator Time Sync Initiator Container Initiator	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client Application Container ClientApplication Client Application ContainerFactory Container Factory Null Factory standalone Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug access Service bugs refsOne assertion registered local Paul issues	Bug Local access local remoteservicereference implemented
172958	IRC commands Channel Patch setup Bug command Root work Containers	Bug IRC Patch commands Root Channel Containers
192574	isn preference settings Defaults buttons Communications Bug empty Restore Apply	Bug Communications preference isn empty
196007	Presence highlights Hover pictures support Bug display supports parse cool	Bug Presence Hover highlights support pictures
198043	contacts groups dialog Bug open users list doesn entries recognize	Bug open contacts dialog doesn recognize users groups
198334	settings view messages CTabFolders CTab Folders Manager Chat Room Folders appearance Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc hyperlink Ctrl Bug IRC underline Wrong text Chatroom problem	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Service class parameters Info Bug takes smaller	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC freenode chatroom editor eclipse problems Connection net irc	Bug IRC Wrong connection click hyperlink
204329	remote Service Container connect Adapter client registry IRemote adapter remoteContainerTwo remote Container	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL channel IRC add hyperlinking account topic accessed	Bug IRC add hyperlinking chat subject box
208667	msn presence UNAVAILABLE client sendPresenceUpdate send Presence Update MSNContainer Update Presence null provider	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message null Message packet Server server form XMPP Presence handleMessageEvent handle Message Event	Bug message XMPP Server displayed
222824	port user Google XMPP gmail work provider default Bug doesn	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password button entered Bug connection Finish clicked wizard	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test provider SLP Listener Type IService Service IDIService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU usage bit bug Bug Eclipse seconds report sun	Bug MSN CPU usage increases connecting
242950	Container targetID target NPE IRCChannelContainer IRCChannel Container disconnect timeouts target IRCChannel Exception IRC	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
