90428	Jabber jabberserver button hotmail action username user usernames login disables	Bug Jabber Provider Character allowed Jabber login names
125572	Initiator ClientSOContainer Client SOContainer Sync IConnect SyncSOClientContainer Sync SOClient Container TimeSyncTask Time Sync Task provider SOContainer IConnectContext IConnect Context TimeSyncInitiator Time Sync Initiator	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory Client ClientApplication Client Application Application Container Initializer ecf Null Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice bug bugs Service remote local Remote assertion refsOne IRemote	Bug Local access local remoteservicereference implemented
172958	commands command Containers Patch Bug Container IRC Channel setup acceptable	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	highlights Presence hover pictures Hover parse supports support display Bug	Bug Presence Hover highlights support pictures
198043	groups contacts entries list dialog users open doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View CTab Chat Room Folders Manager settings patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine IRC problem irc Chatroom Ctrl works hyperlink move Bug	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Info smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC connection net editor Connection freenode click eclipse channel	Bug IRC Wrong connection click hyperlink
204329	remoteContainerTwo remote Container Adapter IRemote client getAdapter Adapter IRemoteServiceReference IRemote Service Reference remote replica IRemoteServiceContainerAdapter IRemote Service Container Adapter Service	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL hyperlinked topic channel IRC hyperlinking account accessed	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn presence MSNContainer client Presence Message send Null UNAVAILABLE	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper null Message form message Server Presence	Bug message XMPP Server displayed
222824	user port XMPP provider Google talk Host host gmail default	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN button mail connection clicked Finish Bug wizard	Bug MSN mail password entered Finish button clicked
233808	IService IDIService Test Listener DiscoveryTest Discovery Test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener provider Discovery Service test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU sun bug java bit report usage Eclipse seconds	Bug MSN CPU usage increases connecting
242950	IRCChannel IRCChannelContainer IRCChannel Container targetID target timeouts Timeout Container IRC disconnect NPE target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI IResource dev core mailing eclipse execution interface html	Bug api add IResourceID IResource
