90428	Jabber jabberserver hotmail Provider username user login usernames Character action	Bug Jabber Provider Character allowed Jabber login names
125572	ECF app Client provider Sync TimeSyncInitiator Time Sync Initiator IConnect SOContainer ClientSOContainer Client SOContainer IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Client Container Application Standalone Eclipse standalone Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access bug local bugs assertion Service refsOne remote Local issues	Bug Local access local remoteservicereference implemented
172958	commands IRC Patch Channel Bug command setup work acceptable Containers	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	Presence highlights pictures Hover support supports parse hover Bug cool	Bug Presence Hover highlights support pictures
198043	groups contacts open dialog Bug doesn list entries users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view settings messages Manager Folders Room ChatRoomManagerView Chat Room Manager View CTab Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc hyperlink Wrong IRC Ctrl underline problem Bug underlined move	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class parameters Bug Info smaller cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc Connection freenode editor eclipse Bug channel click	Bug IRC Wrong connection click hyperlink
204329	remote registry adapter Adapter Container Service remoteContainerTwo remote Container getRemoteServiceReferences Remote Service References client IRemote	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC channel add hyperlinking topic account Bug	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence UNAVAILABLE Update client Presence null Message	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message null packet Message Server XMPPContainer server XMPP form XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	port XMPP user Google gmail talk provider Bug work doesn	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail connection entered Bug button wizard Finish Steps	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test SLP IService provider IDIService Listener Service ecf	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug usage Eclipse bit report seconds increases Bug	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Container NPE targetID target timeouts Timeout disconnect plugin irc	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
