90428	Jabber hotmail Provider Character login jabberserver ECF disables button user	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Sync Client app provider ClientSOContainer Client SOContainer SOContainer SyncSOClientContainer Sync SOClient Container Time Initiator	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin Application ContainerFactory Container Factory Container Client Null Initializer Standalone Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access bugs local bug assertion Service refsOne Local assertTrue assert True IRemote	Bug Local access local remoteservicereference implemented
172958	IRC Containers commands command Patch Channel Bug Container setup work	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn Communications preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	Presence highlights Hover pictures support Bug supports parse cool display	Bug Presence Hover highlights support pictures
198043	groups contacts dialog doesn Bug open entries list recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view CTab settings messages Manager Room ChatRoomManagerView Chat Room Manager View Folders Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc IRC hyperlink Chatroom Wrong underline Ctrl Bug move problem	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class parameters Bug smaller cumbersome Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection freenode irc editor click eclipse Bug channel	Bug IRC Wrong connection click hyperlink
204329	remote client registry adapter Adapter Container Service IRemote remoteContainerTwo remote Container Bug	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL channel add hyperlinking topic account Bug	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update UNAVAILABLE MSNContainer Presence client getStatus Status type null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet message null Message Server server XMPP XMPPContainer form XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	Google port user gmail XMPP doesn work Bug Talk provider	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password entered button connection Bug Steps Finish Open	Bug MSN mail password entered Finish button clicked
233808	Test Discovery Listener SLP discovery provider IService Service IDIService DiscoveryTest Discovery Test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage Eclipse bit seconds increases Bug bug sun	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannelContainer IRCChannel Container disconnect Container NPE IRCChannel timeouts target plugin irc	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI api mailing dev html eclipse Bug	Bug api add IResourceID IResource
254833	Bundle SLP jslp BundleContext Bundle Context Discovery eclipse org Activator system service	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService registerService register Service hostname getServiceName Service Discovery JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info JMDNSDiscovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery getServiceName Service discovery service IServiceID IService Service SLP fall IService fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS IServiceInfo IService Info Discovery JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Service Info Container exchanges IService	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Info Discovery jslp SecurityException Security Exception SLP doesn eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error code Eclipse log status NPE Created SDK dialogs Install	NPE status code
259233	Discovery discovery path URI JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP Discovery Bug lookup scope sourceforge func case aid tracker	Bug Discovery SLP lookup scope case insensitive
265551	Http pause resource tests entire URLRetrievePauseResumeTest URLRetrieve Pause Resume Test HttpClient Http Client Pause transfer provider	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery IServiceTypeID IService Type servicetypes JmDNS DNS getServiceTypeIDs Service Type IDs service authority naming default Type	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter class support Server IRemoteServiceContainerAdapter IRemote Service Container Adapter Generic generic Container supporrt	Bug server supporrt remoteservice container adapter generic server
270332	called patch attachment meaning DocShares Doc Shares Generic Doc group problems subject	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation Log LogService Log Service String StringBuffer String Buffer details logging misses Service Bug	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point class Extension bug Code osgi Points Point service	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv SLP messages version jSLP SLP Discovery Bug discard versions formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	jSLP SLP parser Discovery tags Bug SLP bad attribute HTAB Test	Bug Discovery jSLP Test parser bad tags SLP
302407	remotesrvs Service osgi exception Impl Advertiser java Method Remote inheritance	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DNS Tests DiscoveryTestsWithoutRegister Discovery Tests Register suite checks Bug Add	Bug Discovery DNS Add API checks null test suite
316595	Discovery service Defer Bug request unit retrieval instances test retrieving	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IService Discovery Bug allowed IServiceProperty IService Property property Property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service foo Service OSGi method Smart IFoo rosgi proxy Proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	mailing location discovery zookeeper dev bug html problem solution Bug	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory factory RemoteCallFactory Remote Call Factory Factory IRemote Call Remote rest remoteservice Bug	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation getRemoteServiceReferences Remote Service References osgi Remote Service idFilter Filter String simplified parameter incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable org SerializableStatus Serializable Status Status exception core eclipse ecf Throwable status	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance createInstance create Instance discovery advertisers eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service hostname ServiceResource Service Resource ecf discovery broken Address resource hostnames	Bug Discovery resilient broken hostnames
329054	Container provider Discovery Composite discovery connect containers ecf IConnect IConnectContext IConnect Context	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Composite Discovery Container DiscoveryContainers Discovery Containers Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery startup BundleActivator Bundle Activator Zookeeper Bundle ZooDiscovery Zoo Discovery start Slow ZooDiscoveryContainer Zoo Discovery Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	osgi devsosgi endpoint Service ecf service Container ERROR remoteserviceadmin services	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ecf service ServiceATracker Service ATracker Endpoint ServiceA Service osgi remoteserviceadmin propsA props EndpointDescription Endpoint Description	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service IRemote status HTTP containerFactory container Factory restCall rest Call Call adapter registration service	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property properties private TCK foo intent Property Bug exports	Bug TCK RSA exports private properties
342782	RSA TCK set bundle properties Bug events event symbolicname incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace org pluginId plugin eclipse method tracing NullPointerException Null Pointer Exception ecf throwable git	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager Zoodiscovery Bug annoying unpublish needed unpublishing Harmless	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage server zookeeper Zoo ZooDiscovery Zoo Discovery high Bug CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content remoteservice client UTF encoding IRemoteCallable IRemote Callable Rest consumer ignores	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service configs RemoteServiceAdmin Remote Service Admin import error matching Bug Remote robust	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi NPE Impl String ethz Channel impl Topics osgi updateTopics update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE Message service NPE Impl handleMessage handle Message RemoteOSGiMessage Remote OSGi Message ethz impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org listener Listener register eclipse ecf discovery Service IService type	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client disconnect case application ClientCnxn Client Cnxn Thread server	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem ClassCastException Class Cast Exception service JUnit server remote JVM attachment test	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org Discovery Composite distribution remove eclipse discovery Bug dev	Bug remove code org eclipse ecf provider discovery
