90428	Jabber user hotmail button jabberserver Provider group usernames action Finish	Bug Jabber Provider Character allowed Jabber login names
125572	app ECF provider Sync SOContainer Client Thread TimeSyncInitiator Time Sync Initiator Initiator Time	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client ClientApplication Client Application ContainerFactory Container Factory Application Container Factory provider standalone Standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service access local bug refsOne registered getRemoteServiceReferences Remote Service References assertion bugs remoteservice	Bug Local access local remoteservicereference implemented
172958	commands IRC Patch Channel Bug acceptable command mode setup work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications preference buttons Bug empty Apply Restore	Bug Communications preference isn empty
196007	highlights Presence pictures Hover support supports parse Bug display hover	Bug Presence Hover highlights support pictures
198043	contacts groups entries dialog list open Bug doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings view Folders appearance messages CTab ChatRoomManagerView Chat Room Manager View Manager Room	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl hyperlink Wrong IRC underline text Bug problem works	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Info parameters Bug takes smaller	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC freenode Connection irc chatroom problems editor net channel	Bug IRC Wrong connection click hyperlink
204329	remote Service Adapter registry adapter client remoteContainerTwo remote Container Container IRemote IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL channel IRC topic add hyperlinking account accessed	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update presence UNAVAILABLE client MSNContainer Update provider null Presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message null Server packet XMPP Message XMPPContainer server XMPPContainerPresenceHelper XMPPContainer Presence Helper form	Bug message XMPP Server displayed
222824	user port XMPP Google gmail provider default Bug work talk	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail entered connection Bug button Select Finish wizard	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery provider SLP IService IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Listener Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU Eclipse bug bit usage report seconds increases connect	Bug MSN CPU usage increases connecting
242950	Container IRCChannelContainer IRCChannel Container targetID target NPE IRCChannel timeouts disconnect IRC Exception target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI api mailing dev identity eclipse Bug	Bug api add IResourceID IResource
254833	Bundle eclipse org jslp SLP Discovery Context BundleContext Bundle Context provider system	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService hostname registerService register Service Service JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery getServiceName Service JMDNS JMDNSDiscovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService getServiceName Service service discovery Service Discovery SLP IService eclipse fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service Info JMDNSDiscoveryContainer JMDNSDiscovery Container priority JMDNSDiscovery Discovery Container exchanges provider	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Info Security Discovery SecurityException Security Exception eclipse jslp IService	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status NPEs SDK code update Eclipse Framework Release number	NPE status code
259233	path Discovery URI discovery JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP Discovery Bug case scope aid tracker net detail func	Bug Discovery SLP lookup scope case insensitive
265551	Pause pause resource tests entire transfer URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve Http Test	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs Discovery service naming authority Service servicetypes JmDNS DNS Type default	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter support class Container generic GenericServerContainer Generic Server Container Generic Server	Bug server supporrt remoteservice container adapter generic server
270332	patch problems called meaning attachment fixed ECF group channels DocShares Doc Shares	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String LogService Log Service StringBuffer String Buffer Log details println invokes misses Buffer	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug Code class osgi impl Extension ethz ExtensionPoint Extension Point service	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
