90428	Jabber Provider action button user jabberserver Character hotmail login ECF	Bug Jabber Provider Character allowed Jabber login names
125572	provider Initiator SyncSOClientContainer Sync SOClient Container TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer IConnectContext IConnect Context ECF initSyncService init Sync Service killConnection kill Connection SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Client Container Application Initializer Factory ecf Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteservice access remote Remote bug bugs Service remoteContainerOne remote Container IRemote	Bug Local access local remoteservicereference implemented
172958	Bug commands Containers Patch IRC command Container Channel work patch	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons preference isn Communications Bug empty	Bug Communications preference isn empty
196007	highlights Presence Hover hover pictures Bug support display cool parse	Bug Presence Hover highlights support pictures
198043	groups contacts entries list dialog Bug open doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Folders Chat CTab Room settings Bug view messages	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine Chatroom Bug IRC problem irc hyperlink works Ctrl Wrong	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class parameters Bug Info cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc Connection net Bug freenode click channel hyperlink	Bug IRC Wrong connection click hyperlink
204329	Adapter remoteContainerTwo remote Container IRemote client IRemoteServiceReference IRemote Service Reference remote getAdapter Adapter adapter Bug registry	Bug remoteservice registry updated adapter accessed connect
205532	subject chat hyperlinked IRC topic URL channel hyperlinking Bug account	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence Presence client provider Message setPersonalMessage set Personal Message getStatus Status	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper server message Server null form field Message	Bug message XMPP Server displayed
222824	user port XMPP provider Google Bug Host gmail host talk	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN mail Bug button clicked Select connection wizard	Bug MSN mail password entered Finish button clicked
