90428	Jabber button Provider action login hotmail user Character disables group	Bug Jabber Provider Character allowed Jabber login names
125572	ECF provider Initiator app Sync ClientSOContainer Client SOContainer SOContainer Client Time SyncSOClientContainer Sync SOClient Container	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin Client ContainerFactory Container Factory Application Container Null Initializer Standalone Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access local bugs bug registered Service assertion refsOne remoteservice implemented	Bug Local access local remoteservicereference implemented
172958	IRC Bug Patch Containers command commands Channel Container setup work	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn Communications preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	Presence highlights Hover pictures support Bug supports parse cool display	Bug Presence Hover highlights support pictures
198043	groups contacts entries dialog list open Bug doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View view Room settings Chat messages Manager CTab Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc hyperlink Wrong Chatroom underline fine Ctrl Bug move	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class parameters Bug smaller cumbersome Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC net freenode irc click editor Connection eclipse Bug	Bug IRC Wrong connection click hyperlink
204329	Adapter IRemote client registry adapter remoteContainerTwo remote Container Service getAdapter Adapter Container remote	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL channel add hyperlinking topic account hyperlinked	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update MSNContainer Presence UNAVAILABLE client provider Null Message	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server message null Message Server form XMPP XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	user port Google XMPP provider gmail Host Bug work talk	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail entered button connection Bug Finish clicked wizard	Bug MSN mail password entered Finish button clicked
233808	Test Discovery provider Listener SLP discovery IService IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener DiscoveryTest Discovery Test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU usage sun Eclipse bit report seconds bug increases	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannelContainer IRCChannel Container Container NPE disconnect IRCChannel timeouts target IRC server	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI IResource dev core api mailing eclipse execution html	Bug api add IResourceID IResource
254833	Bundle SLP BundleContext Bundle Context consumer eclipse jslp service Discovery org system	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService registerService register Service hostname Discovery getServiceName Service JMDNSDiscovery JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery getServiceName Service discovery service IServiceID IService Service SLP fall IService fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service Discovery JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Container Info exchanges IService priority	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService Info IServiceInfo IService Info Discovery jslp SecurityException Security Exception eclipse IService SLP	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK status code Framework Eclipse EMF Created log Install	NPE status code
259233	Discovery discovery path URI JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP Discovery Bug case scope sourceforge lookup http aid func	Bug Discovery SLP lookup scope case insensitive
265551	Http pause resource tests provider entire URLRetrievePauseResumeTest URLRetrieve Pause Resume Test HttpClient Http Client Pause URLRetrieve	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs Discovery JmDNS DNS servicetypes IServiceTypeID IService Type service Service authority naming default	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter support IRemoteServiceContainerAdapter IRemote Service Container Adapter class generic Server Generic Container IRemote	Bug server supporrt remoteservice container adapter generic server
270332	DocShares Doc Shares called patch Doc problems meaning attachment ECF group Generic	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service implementation Log StringBuffer String Buffer String logging details misses Service Buffer	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point bug class Extension Point Code osgi service point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages SLP SLPv version jSLP SLP Discovery protocol Bug discard versions	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	jSLP SLP parser Discovery tags Bug SLP bad attribute HTAB Test	Bug Discovery jSLP Test parser bad tags SLP
302407	remotesrvs Service type osgi callSync call Sync exception Impl java method RemoteServiceImpl Remote Service Impl	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DNS Tests DiscoveryTestsWithoutRegister Discovery Tests Register suite checks Bug Add	Bug Discovery DNS Add API checks null test suite
