90428	Jabber jabberserver button username usernames hotmail disables Provider Finish action	Bug Jabber Provider Character allowed Jabber login names
125572	ClientSOContainer Client SOContainer IConnect Initiator provider ECF TimeSyncTask Time Sync Task Sync app SyncSOClientContainer Sync SOClient Container initSyncService init Sync Service	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Client Container Application Initializer ecf Standalone Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteservice remote registered Remote access Service remoteContainerOne remote Container bugs implemented	Bug Local access local remoteservicereference implemented
172958	commands IRC command Containers Channel Patch Bug acceptable Container patch	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults Communications isn preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover hover Bug supports pictures cool parse support	Bug Presence Hover highlights support pictures
198043	groups contacts entries open list users dialog doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view CTab ChatRoomManagerView Chat Room Manager View messages Chat Room Folders Manager patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine Wrong problem underline hyperlink IRC works irc Chatroom Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc net Connection click freenode Wrong appears editor	Bug IRC Wrong connection click hyperlink
204329	remote IRemote Adapter remoteContainerTwo remote Container IRemoteServiceReference IRemote Service Reference IRemoteServiceContainerAdapter IRemote Service Container Adapter getAdapter Adapter client Service registry	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC hyperlinked chat URL add topic accessed channel hyperlinking	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence Message send provider Presence Null setPersonalMessage set Personal Message	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
