90428	Jabber hotmail button Character jabberserver user Provider login group disables	Bug Jabber Provider Character allowed Jabber login names
125572	app Sync provider ECF Time SOContainer TimeSyncInitiator Time Sync Initiator ClientSOContainer Client SOContainer Initiator Thread	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Application Client ContainerFactory Container Factory Container provider Factory NullPointerExcepton Null Pointer Excepton Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bugs bug access assertion refsOne local registered remoteservice exceptions	Bug Local access local remoteservicereference implemented
172958	IRC commands Patch Channel command Root Containers Bug setup Container	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications Bug preference buttons empty Apply Restore	Bug Communications preference isn empty
196007	Presence highlights pictures support Hover supports display parse Bug hover	Bug Presence Hover highlights support pictures
198043	groups contacts entries dialog list open users Bug doesn recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings view ChatRoomManagerView Chat Room Manager View messages appearance Room Folders Chat Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl Wrong IRC hyperlink Bug underline text Chatroom fine	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info discovery Service constructors class Info Bug parameters smaller cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC editor Connection net click channel irc freenode chatroom	Bug IRC Wrong connection click hyperlink
204329	Service remote IRemote connect Adapter registry adapter client Container remoteContainerTwo remote Container	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL IRC channel account add hyperlinking topic accessed	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update client UNAVAILABLE MSNContainer Update provider Personal instance	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	null packet message Message Server server XMPP form handleMessageEvent handle Message Event packetExtensions packet Extensions	Bug message XMPP Server displayed
222824	port user XMPP Google work Talk gmail provider default Bug	Bug XMPP doesn work port Google Talk Host
