90428	jabberserver hotmail Jabber button Character Join user disables org Provider	Bug Jabber Provider Character allowed Jabber login names
125572	Sync app TimeSyncInitiator Time Sync Initiator provider ClientSOContainer Client SOContainer ECF SOContainer Thread IConnectContext IConnect Context IConnect	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ContainerFactory Container Factory ClientApplication Client Application Container Client Initializer app provider Standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local Service remoteservice registered remote bugs refsOne access bug implemented	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel command Patch Root Containers Container patch setup	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings Communications isn Bug preference buttons empty Apply Restore	Bug Communications preference isn empty
196007	highlights Presence hover Hover support pictures supports display Bug parse	Bug Presence Hover highlights support pictures
198043	contacts entries groups open list users dialog doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings appearance view messages ChatRoomManagerView Chat Room Manager View Folders CTab Chat Room	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl Wrong text click fine works underline hyperlink underlined	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info discovery constructors class Info Bug smaller parameters cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection net irc click Click Ctrl editor eclipse	Bug IRC Wrong connection click hyperlink
204329	remote Service connect IRemote IRemoteServiceContainerAdapter IRemote Service Container Adapter remoteContainerTwo remote Container IRemoteServiceReference IRemote Service Reference clientTwo client client Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC topic account accessed add channel hyperlinked	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update client Update UNAVAILABLE provider presence MSNContainer instance send	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP Server packet message null XMPPContainer Message server handleMessageEvent handle Message Event displayed	Bug message XMPP Server displayed
222824	XMPP port user work Google Talk gmail doesn provider Host	Bug XMPP doesn work port Google Talk Host
222868	password entered mail MSN connection button clicked Finish wizard Bug	Bug MSN mail password entered Finish button clicked
