90428	Jabber jabberserver hotmail login ECF username disables usernames user Character	Bug Jabber Provider Character allowed Jabber login names
125572	Sync Client SyncSOClientContainer Sync SOClient Container IConnect ClientSOContainer Client SOContainer SOContainer TimeSyncInitiator Time Sync Initiator ECF TimeSyncTask Time Sync Task IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Container ContainerFactory Container Factory Application Initializer Client Null ecf Error	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug remoteContainerOne remote Container local IRemote remote assertion Service refsOne access	Bug Local access local remoteservicereference implemented
172958	commands command Containers IRC Channel Container Patch setup acceptable work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn buttons preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	highlights Presence hover pictures Hover parse supports support display Bug	Bug Presence Hover highlights support pictures
198043	groups contacts dialog doesn entries Bug open list recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders CTab Folders Manager settings Room ChatRoomManagerView Chat Room Manager View Chat patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc Chatroom Ctrl problem underlined hyperlink move click Bug	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Info smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc IRC Connection editor freenode eclipse channel chatroom click	Bug IRC Wrong connection click hyperlink
204329	remote client remoteContainerTwo remote Container IRemoteServiceReference IRemote Service Reference IRemote Remote Adapter getRemoteServiceReferences Remote Service References adapter getAdapter Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL topic channel IRC hyperlinking account box add	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update presence msn getStatus Status Presence Status Update UNAVAILABLE MSNContainer client	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
