90428	Jabber jabberserver hotmail username disables Character Provider Join usernames login	Bug Jabber Provider Character allowed Jabber login names
125572	IConnect Client ClientSOContainer Client SOContainer ECF TimeSyncTask Time Sync Task app TimeSyncInitiator Time Sync Initiator SOContainer provider IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Client Standalone Application standalone app ecf	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remote Remote bugs access bug Local remoteContainerOne remote Container registered locally	Bug Local access local remoteservicereference implemented
172958	commands IRC command Containers Channel acceptable Patch Container patch Bug	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications preference buttons Bug Apply affect empty	Bug Communications preference isn empty
196007	highlights Presence Hover hover Bug supports pictures cool parse support	Bug Presence Hover highlights support pictures
198043	groups contacts open doesn dialog Bug entries recognize list users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages Folders CTab Manager patch doesn settings follow	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline hyperlink IRC underlined irc problem Chatroom click Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery smaller Bug bug class parameters takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Connection click freenode Wrong appears net editor	Bug IRC Wrong connection click hyperlink
204329	remote getRemoteServiceReferences Remote Service References client registry connect IRemoteServiceReference IRemote Service Reference Container remoteContainerTwo remote Container remoteservice Remote	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC add topic URL channel hyperlinking Bug output	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence Presence UNAVAILABLE Message Update type null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer XMPP message Server XMPPContainerPresenceHelper XMPPContainer Presence Helper null Message type server	Bug message XMPP Server displayed
222824	port XMPP gmail Google doesn user work Talk talk provider	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered mail Steps connection button Open Finish Bug	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery IService Test SLP Listener DiscoveryTest Discovery Test test IDIService provider	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage increases bug Eclipse bit seconds connect Steps	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container Timeout IRCChannel timeouts NPE disconnect Container targetID target connect root	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api core URI add dev mailing moving Bug	Bug api add IResourceID IResource
254833	jslp SLP slp Discovery Bundle eclipse ecf internal org eagerly	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery getServiceName Service JMDNS hostname jmdns container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IService Discovery discovery IServiceID IService service SLP Service optional Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery jmdns IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery IService Container Service Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Discovery Info SLP jslp throw SecurityException Security Exception Bug	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update NPEs status NPE Created log code Update SDK	NPE status code
259233	discovery Discovery path URI lost JMDNS Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery SLP lookup atid func tracker scope Bug sourceforge aid	Bug Discovery SLP lookup scope case insensitive
265551	entire Pause paused resource pause URLRetrievePauseResumeTest URLRetrieve Pause Resume Test PAUSE URLRetrieve Http provider	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs Discovery JmDNS DNS naming IServiceTypeID IService Type default servicetypes service set Bug	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter generic Generic Server class Adapter support IRemoteServiceContainerAdapter IRemote Service Container Adapter supporrt	Bug server supporrt remoteservice container adapter generic server
270332	called patch DocShares Doc Shares docshare Generic subject attachment fixed Created Bug	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log implementation LogService Log Service logging invokes misses String parameter details StringBuffer String Buffer	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer osgi ExtensionPoint Extension Point Code class remotesrvs Extension bug comment iks	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages Discovery version discard Bug discards change	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser jSLP SLP tags bad Discovery SLP Bug Test accept attribute	Bug Discovery jSLP Test parser bad tags SLP
302407	osgi remotesrvs remote NoSuchMethodException Method Exception java Remote Service exception OSGi method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests Discovery DiscoveryTestsWithoutRegister Discovery Tests Register suite DNS Add API checks Bug	Bug Discovery DNS Add API checks null test suite
316595	service Discovery test retrieving request lazily unit instances Defer retrieval	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IServiceProperty IService Property IService Discovery allowed Bug Property property	Bug Discovery Whitespaces allowed property
327029	rosgi foo IFooService IFoo Service rosgiFoo rosgi Foo OSGi method IFoo Smart proxy RemoteSrvs Remote Srvs	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	problem zookeeper solution discovery location port URI bug dev include	Bug discovery zookeeper location URI include port
327379	factory RemoteCallFactory Remote Call Factory IRemoteCallFactory IRemote Call Factory Factory Call rest IRemote Remote RestCallFactory Rest Call Factory Rest	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References osgi implementation Remote String Service simplified parameter incorrect idFilter Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable exception SerializableStatus Serializable Status Status org ecf eclipse status Exception core	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Composite Container advertisers discovery locator set eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
