90428	Jabber jabberserver hotmail login ECF username disables usernames user Character	Bug Jabber Provider Character allowed Jabber login names
125572	Client ClientSOContainer Client SOContainer IConnect SOContainer TimeSyncTask Time Sync Task TimeSyncInitiator Time Sync Initiator IConnectContext IConnect Context ECF Sync Time	Bug ECF Generic provider thread interlock
134483	ECFPlugin Container Client ContainerFactory Container Factory ClientApplication Client Application Application ecf Eclipse Null Pointer	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug remote local Remote assertion Service refsOne access remoteContainerOne remote Container	Bug Local access local remoteservicereference implemented
172958	commands command Containers IRC Channel Container Patch setup acceptable work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Bug Communications Apply affect empty	Bug Communications preference isn empty
196007	highlights Presence hover pictures Hover parse supports support display Bug	Bug Presence Hover highlights support pictures
198043	groups contacts dialog doesn entries Bug open list recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders Manager settings Room ChatRoomManagerView Chat Room Manager View CTab Chat patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc Chatroom Ctrl problem underlined hyperlink move click Bug	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery smaller class bug Info Bug parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc IRC Connection editor freenode eclipse channel chatroom appears	Bug IRC Wrong connection click hyperlink
204329	client getRemoteServiceReferences Remote Service References remote remoteContainerTwo remote Container Adapter Remote adapter getAdapter Adapter IRemoteServiceReference IRemote Service Reference server	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL topic channel IRC hyperlinking account box add	Bug IRC add hyperlinking chat subject box
208667	presence sendPresenceUpdate send Presence Update msn Presence Update UNAVAILABLE MSNContainer client null type	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer null Message XMPPContainerPresenceHelper XMPPContainer Presence Helper message server form Server Presence	Bug message XMPP Server displayed
222824	port Google XMPP gmail talk user work doesn default Talk	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail connection entered Steps button Open wizard Bug	Bug MSN mail password entered Finish button clicked
233808	Discovery IService Listener discovery Test test IDIService Service provider SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bug bit Eclipse usage seconds sun report increases	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Timeout Container targetID target NPE timeouts plugin irc provider	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI mailing dev eclipse mhonarc org CDC	Bug api add IResourceID IResource
254833	jslp SLP Bundle BundleContext Bundle Context system slp service consumer resources ethz	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery getServiceName Service registerService register Service jmdns IServiceInfo IService Info hostname container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IService discovery Service service IServiceID IService Discovery fall SLP fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info jmdns IService Service Info Container container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info SecurityException Security Exception jslp Info Security IService eclipse Discovery	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error NPEs update Eclipse log code SDK Update number dialogs	NPE status code
259233	discovery Discovery URI path JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func SLP atid tracker Discovery aid scope sourceforge lookup Bug	Bug Discovery SLP lookup scope case insensitive
265551	Pause resource Http paused PAUSE URLRetrievePauseResumeTest URLRetrieve Pause Resume Test tests URLRetrieve entire provider	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes service Type IServiceTypeID IService Type Discovery authority JmDNS DNS Service ECF	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter Generic Server IRemoteServiceContainerAdapter IRemote Service Container Adapter class Adapter Container support generic	Bug server supporrt remoteservice container adapter generic server
270332	patch called docshare attachment problems meaning Doc subject fixed Created	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log StringBuffer String Buffer implementation parameter message LogService Log Service logging String Service println	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Extension Code class bug comment service Analyzer point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv version jSLP SLP messages Discovery versions formats discard Bug	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags SLP jSLP SLP attribute bad HTAB Discovery Bug Test	Bug Discovery jSLP Test parser bad tags SLP
302407	java Service exception Remote Impl NoSuchMethodException Method Exception Method Advertiser inheritance org	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests Discovery DiscoveryTestsWithoutRegister Discovery Tests Register API DNS checks Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service test Discovery request retrieving instances lazily unit retrieval Bug	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IService IServiceProperty IService Property Property property Discovery Bug allowed	Bug Discovery Whitespaces allowed property
327029	rosgi foo rosgiFoo rosgi Foo method IFooService IFoo Service OSGi Smart Foo SmartProxyService Smart Proxy Service proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	solution problem bug zookeeper location port dev mailing interest mhonarc	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory factory Factory IRemoteCallFactory IRemote Call Factory rest Remote IRemote RestCallFactory Rest Call Factory remoteservice Call	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References osgi implementation idFilter Filter Service Remote String parameter simplified incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status exception Status Throwable org Exception STATUS core eclipse	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator discovery Container Composite eclipse ecf provider Type	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ServiceResource Service Resource discovery ecf Service resource hostnames hostname Inet Resource	Bug Discovery resilient broken hostnames
329054	provider Container IConnect IConnectContext IConnect Context Discovery connect containers discovery providers ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers Container Containers CompositeDiscoveryContainer Composite Discovery Container Composite instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo ZooDiscoveryContainer Zoo Discovery Container Discovery Zookeeper Bundle startup BundleActivator Bundle Activator Container Activator ZooDiscovery Zoo Discovery	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	endpoint devsosgi osgi Service service Container remoteserviceadmin ServiceProperties Service Properties RemoteServiceContainer Remote Service Container Endpoint	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ServiceATracker Service ATracker service ServiceA Service ecf Endpoint EndpointDescription Endpoint Description osgi propsA props property	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	restCall rest Call service Service containerFactory container Factory adapter Call IRemote registration invokeRemoteCall invoke Remote Call HttpPutRequestType Http Request Type	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property properties RSA Property foo private intent service TCK exports	Bug TCK RSA exports private properties
342782	TCK RSA bundle event set properties symbolicname events Bug incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin tracing ecf eclipse org ECF plugin printStackTrace print Stack Trace git	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
