90428	hotmail jabberserver user Jabber button org Character Join group login	Bug Jabber Provider Character allowed Jabber login names
125572	Sync TimeSyncInitiator Time Sync Initiator SOContainer ClientSOContainer Client SOContainer IConnectContext IConnect Context Time Thread app provider Initiator	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application Container ContainerFactory Container Factory Client ClientApplication Client Application Initializer Factory provider ecf	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service remoteservice bugs bug refsOne assertion local remote getRemoteServiceReferences Remote Service References exceptions	Bug Local access local remoteservicereference implemented
172958	commands IRC command Patch Channel setup Containers Root Container work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn Bug preference Communications empty Apply Restore	Bug Communications preference isn empty
196007	highlights Presence pictures hover support display Hover parse supports XMPP	Bug Presence Hover highlights support pictures
198043	groups entries contacts list users dialog doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	settings CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Folders appearance Chat Room CTab Manager messages	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc text IRC click fine works underlined Chatroom Wrong	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info class constructors discovery Info smaller parameters Bug cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc net Connection editor channel chatroom eclipse Click	Bug IRC Wrong connection click hyperlink
204329	Service remote remoteContainerTwo remote Container IRemote client IRemoteServiceContainerAdapter IRemote Service Container Adapter connect clientTwo client Adapter IRemoteServiceReference IRemote Service Reference	Bug remoteservice registry updated adapter accessed connect
205532	chat URL subject account topic channel accessed IRC hyperlinking hyperlinked	Bug IRC add hyperlinking chat subject box
208667	client Update sendPresenceUpdate send Presence Update msn presence UNAVAILABLE provider instance null Personal	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null Message Server server message XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper handleMessageEvent handle Message Event XMPP	Bug message XMPP Server displayed
222824	port user XMPP Google work Talk default provider talk Host	Bug XMPP doesn work port Google Talk Host
222868	password connection mail button MSN entered wizard clicked Bug Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery Service discovery Test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IDIService provider Listener tests IService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit bug seconds sun report usage Eclipse java	Bug MSN CPU usage increases connecting
242950	IRC targetID target timeouts IRCChannelContainer IRCChannel Container IRCChannel Container Exception irc Timeout target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI dev identity environment mailing execution mhonarc	Bug api add IResourceID IResource
254833	Bundle jslp service eclipse BundleContext Bundle Context consumer provider Discovery slp system	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscoveryContainer JMDNSDiscovery Container Service registerService register Service getServiceName Service IServiceInfo IService Info JMDNSDiscovery identity provider	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service Service discovery IServiceID IService getServiceName Service IService Discovery identity isn fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNS JMDNSDiscovery provider IService IServiceInfo IService Info createServiceInfoFromIServiceInfo create Service Info IService Info Info jmdns	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService Security IServiceInfo IService Info IService jslp provider Discovery java SecurityException Security Exception	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update SDK NPEs Modelling Eclipse Graphical fails Framework Release	NPE status code
259233	path discovery Discovery URI lost JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	Discovery func detail lookup scope SLP Bug net aid case	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test tests Pause Http Resume PAUSE URLRetrieve TIME resource Test	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes Service getServiceTypeIDs Service Type IDs naming Discovery service Type authority DNS JmDNS DNS	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	IRemoteServiceContainerAdapter IRemote Service Container Adapter class Generic GenericServerContainer Generic Server Container server Container Service support generic Server	Bug server supporrt remoteservice container adapter generic server
270332	patch fixed problems subject Doc attachment reference meaning DocShares Doc Shares attached	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String StringBuffer String Buffer Log LogService Log Service Buffer Service logging println details	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer Code bug Extension ExtensionPoint Extension Point class Galanciak impl Analyzer Point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv messages SLP version jSLP SLP Discovery change Bug protocol formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser jSLP SLP attribute Bug Discovery HTAB SLP bad Test	Bug Discovery jSLP Test parser bad tags SLP
302407	java Service exception Impl Method ServiceURL Service URL happen callSync call Sync lang URL	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
