90428	Jabber Provider jabberserver hotmail Character ECF login user org allowed	Bug Jabber Provider Character allowed Jabber login names
125572	SyncSOClientContainer Sync SOClient Container Sync Client ECF TimeSyncTask Time Sync Task IConnectContext IConnect Context SOContainer provider IConnect ClientSOContainer Client SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Application Initializer Client Null ecf NullPointerExcepton Null Pointer Excepton	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteContainerOne remote Container access bugs bug IRemote assertTrue assert True remote Bug IRemoteServiceReference IRemote Service Reference	Bug Local access local remoteservicereference implemented
172958	commands Containers IRC Bug Patch command Channel Container work patch	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings preference isn Communications buttons Bug empty	Bug Communications preference isn empty
196007	highlights Presence Hover hover pictures Bug support display cool parse	Bug Presence Hover highlights support pictures
198043	groups contacts dialog Bug doesn open entries list recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders CTab settings Bug view messages ChatRoomManagerView Chat Room Manager View Room appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom Bug irc IRC Ctrl hyperlink Wrong underlined problem underline	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class parameters Bug Info cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Connection Bug freenode channel chatroom editor hyperlink	Bug IRC Wrong connection click hyperlink
204329	remote IRemoteServiceReference IRemote Service Reference client Remote remoteContainerTwo remote Container adapter Bug registry IRemote getRemoteServiceReferences Remote Service References	Bug remoteservice registry updated adapter accessed connect
205532	subject chat topic IRC URL channel hyperlinking Bug account add	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn MSNContainer getStatus Status Status presence Presence Update UNAVAILABLE type	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper message Server null Message XMPP Bug packetExtensions packet Extensions	Bug message XMPP Server displayed
222824	port XMPP Google gmail user Bug work doesn talk default	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail entered Bug Steps connection Select wizard button	Bug MSN mail password entered Finish button clicked
233808	IService Test Discovery DiscoveryTest Discovery Test Service IDIService Listener test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage Eclipse bug Bug bit connect disconnect seconds	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel targetID target disconnect timeouts NPE Container Timeout target TimeoutException Timeout Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core html api URI Bug mailing CDC class	Bug api add IResourceID IResource
254833	jslp Bundle BundleContext Bundle Context SLP org Discovery eclipse Activator Context Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService getServiceName Service JMDNSDiscovery registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info Discovery jmdns hostname	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService Discovery getServiceName Service Service service discovery SLP IService Bug isn	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery IService JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns IServiceInfo IService Info exchanges priority weight Discovery	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info jslp Discovery IService doesn Info SLP SecurityException Security Exception	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	code error NPE Update Eclipse update NPEs number log EMF	NPE status code
259233	discovery Discovery URI path JMDNS Bug segment lost	Bug Discovery JMDNS URI path lost discovery
259389	func SLP Bug Discovery atid lookup scope tracker aid detail	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Http pause resource URLRetrieve HttpClient Http Client tests TIME Pause entire	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes getServiceTypeIDs Service Type IDs IServiceTypeID IService Type Discovery authority JmDNS DNS Service IService ECF Bug	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter Generic generic Server Adapter Service support AbstractGenericServer Abstract Generic Server Abstract	Bug server supporrt remoteservice container adapter generic server
270332	patch called meaning docshare DocShares Doc Shares Generic Bug problems attachment ECF	Bug called DocShares ECF Generic group handling Doc Shares
273135	StringBuffer String Buffer Log implementation String LogService Log Service Bug details Service logging misses	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Points class Code Point Analyzer reply Extension impl	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages version Bug Discovery versions discard formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser jSLP SLP tags SLP Bug attribute Discovery bad HTAB Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Service ServiceURL Service URL remotesrvs Advertiser AdvertiserImpl Advertiser Impl osgi Remote RemoteServiceImpl Remote Service Impl Impl exception	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests DNS API suite Bug DiscoveryTestsWithoutRegister Discovery Tests Register Add checks	Bug Discovery DNS Add API checks null test suite
316595	service test Discovery Bug Defer instances retrieving retrieval unit lazily	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IServiceProperty IService Property IService Property Discovery Bug property allowed	Bug Discovery Whitespaces allowed property
327029	Service IFooService IFoo Service rosgi foo rosgiFoo rosgi Foo OSGi IFoo method Smart Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	problem location zookeeper mailing html solution bug discovery Bug dev	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Factory factory IRemoteCallFactory IRemote Call Factory IRemote Call remoteservice Remote Bug rest	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References osgi implementation Service Remote idFilter Filter References parameter String incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status exception Status checkForSerializable check Serializable org core eclipse ecf Exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Composite Discovery Container CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator discovery Instance createInstance create Instance ContainerTypeDescription Container Type Description Type	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery hostname Address Service ServiceResource Service Resource hostnames ecf resource discovery Resource	Bug Discovery resilient broken hostnames
329054	Container Composite Discovery provider IConnect IConnectContext IConnect Context CompositeDiscoveryContainer Composite Discovery Container discovery connect providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Container Discovery Composite Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery BundleActivator Bundle Activator startup ZooDiscoveryContainer Zoo Discovery Container start Zookeeper ZooDiscovery Zoo Discovery Bundle Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	endpoint osgi Service devsosgi services remoteserviceadmin RemoteServiceContainer Remote Service Container service ecf Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ServiceATracker Service ATracker service Endpoint ServiceA Service EndpointDescription Endpoint Description ecf registerService register Service remoteserviceadmin proxy	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	IRemote Service restCall rest Call invokeRemoteCall invoke Remote Call IRemoteService IRemote Service Parameters status containerFactory container Factory requestType request Type HTTP	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property properties RSA Property private Bug TCK foo intent exports	Bug TCK RSA exports private properties
342782	TCK RSA set event Bug properties bundle events symbolicname incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse java pluginId plugin method org printStackTrace print Stack Trace methodName method NullPointerException Null Pointer Exception plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager Bug unpublish Zoodiscovery Harmless thrown annoying unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	server client Discovery zookeeper percentage ZooDiscovery Zoo Discovery Zoo Bug high CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service remoteservice UTF encoding Rest consumer client content Client rest	Bug RestClientService ignores content encoding Rest Client Service
414448	import importService import Service Service RemoteServiceAdmin Remote Service Admin Bug configs error imported registration matching	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi Impl updateTopics update Topics Endpoint NPE ChannelEndpointImpl Channel Endpoint Impl ethz String Topics impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE service NPE Message Impl handleMessage handle Message RemoteOSGiMessage Remote OSGi Message Bug ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery DiscoveryServiceListener Discovery Service Listener Listener org Discovery type listener ecf eclipse Service	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client ClientCnxn Client Cnxn disconnect Bug Timeout SendThread Send Thread reopened	Bug Discovery Zookeeper Auto reconnect issue
471541	tests ClassCastException Class Cast Exception JUnit test problem server exception service callee Class	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery Composite ecf discovery org eclipse Bug CompositeDiscoveryContainer Composite Discovery Container distribution remove	Bug remove code org eclipse ecf provider discovery
