90428	Jabber jabberserver hotmail username disables Character Provider Join usernames login	Bug Jabber Provider Character allowed Jabber login names
125572	Sync IConnect Client ECF ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container app TimeSyncInitiator Time Sync Initiator TimeSyncTask Time Sync Task provider	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Application Initializer Client ecf Standalone Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteContainerOne remote Container remote access bugs IRemote IRemoteServiceReference IRemote Service Reference Local bug remoteservice	Bug Local access local remoteservicereference implemented
172958	commands IRC command Containers Channel acceptable Patch Container patch Bug	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults Communications isn preference Bug buttons empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover hover Bug supports pictures cool parse support	Bug Presence Hover highlights support pictures
198043	groups contacts open doesn dialog Bug entries recognize list users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view CTab messages Folders Manager patch doesn settings follow	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline hyperlink IRC underlined irc problem Chatroom click Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Connection click freenode Wrong appears net editor	Bug IRC Wrong connection click hyperlink
204329	remote IRemoteServiceReference IRemote Service Reference IRemote registry Remote remoteContainerTwo remote Container client connect Container remoteservice	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC add topic URL channel hyperlinking Bug output	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence getStatus Status Presence UNAVAILABLE Status type Message	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer XMPP message Server XMPPContainerPresenceHelper XMPPContainer Presence Helper null Message type server	Bug message XMPP Server displayed
222824	port XMPP gmail Google doesn user work Talk talk provider	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered mail Steps connection button Open Finish Bug	Bug MSN mail password entered Finish button clicked
233808	IService Test Discovery IDIService DiscoveryTest Discovery Test Service discovery SLP Listener tests	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage increases bug Eclipse bit seconds connect Steps	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container disconnect timeouts IRCChannel targetID target NPE Container Timeout TimeoutException Timeout Exception fire	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api core URI add dev mailing html moving	Bug api add IResourceID IResource
254833	jslp SLP Bundle BundleContext Bundle Context slp Discovery Activator eclipse ecf internal	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service Discovery IServiceInfo IService Info JMDNS hostname jmdns	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery IServiceID IService getServiceName Service service IService Service discovery SLP optional Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery jmdns IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery IService Container Service Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info jslp Discovery Info SLP throw SecurityException Security Exception eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update NPEs status NPE Created log code Update SDK	NPE status code
259233	discovery Discovery path URI lost JMDNS Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery SLP lookup atid func tracker scope Bug sourceforge aid	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test entire pause Http URLRetrieve resource reads HttpClient Http Client tests provider	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes Discovery IServiceTypeID IService Type getServiceTypeIDs Service Type IDs JmDNS DNS naming default service IService set	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter generic Generic Server support Adapter Abstract class IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug server supporrt remoteservice container adapter generic server
270332	called patch DocShares Doc Shares docshare Generic subject attachment fixed Created Bug	Bug called DocShares ECF Generic group handling Doc Shares
273135	String Log LogService Log Service StringBuffer String Buffer implementation logging misses details invokes Bug	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer osgi ExtensionPoint Extension Point Code class remotesrvs bug Extension iks comment	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages Discovery version discard Bug discards change	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser jSLP SLP tags bad Discovery SLP Bug Test accept attribute	Bug Discovery jSLP Test parser bad tags SLP
