90428	hotmail Jabber jabberserver user Character Provider org button login action	Bug Jabber Provider Character allowed Jabber login names
125572	Sync provider IConnectContext IConnect Context app TimeSyncInitiator Time Sync Initiator SOContainer TimeSyncTask Time Sync Task threads ECF initSyncService init Sync Service	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ContainerFactory Container Factory ClientApplication Client Application Container Client Factory Initializer contructor provider	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service local remoteservice access bugs bug assertion refsOne Bug exceptions	Bug Local access local remoteservicereference implemented
172958	commands IRC Patch Bug Containers Root command Channel work Container	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings Bug buttons preference isn Communications empty Restore	Bug Communications preference isn empty
196007	Presence highlights support pictures hover Hover display Bug parse supports	Bug Presence Hover highlights support pictures
198043	contacts groups entries list dialog Bug users open doesn recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings Folders ChatRoomManagerView Chat Room Manager View appearance Chat Room messages Bug view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc Bug text Wrong click Chatroom works underlined hyperlink	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service class discovery constructors Info Bug parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection irc channel net chatroom problems Bug editor	Bug IRC Wrong connection click hyperlink
204329	Service remote remoteContainerTwo remote Container IRemote client connect clientTwo client Adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter IRemoteServiceReference IRemote Service Reference	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL topic account IRC channel hyperlinked accessed hyperlinking	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update client Update MSNContainer UNAVAILABLE provider presence Bug instance	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Server message packet XMPP null XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPPContainer Message server displayed	Bug message XMPP Server displayed
222824	port user XMPP work Google Bug provider default Talk Host	Bug XMPP doesn work port Google Talk Host
222868	password mail MSN entered connection Bug button wizard clicked Select	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener provider Service tests IDIService test Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit bug usage connect Bug seconds Eclipse sun	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container targetID target IRC timeouts IRCChannel Container Exception target NPE Timeout	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI identity environment dev api Bug execution	Bug api add IResourceID IResource
254833	jslp eclipse Bundle Discovery service provider Context org SLP consumer	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Service getServiceName Service JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service IServiceInfo IService Info identity JMDNSDiscovery discovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service service IServiceID IService discovery getServiceName Service Discovery IService SLP identity Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container Service IService Discovery provider exchanges JMDNSDiscovery priority IServiceInfo IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Discovery IService Security jslp java Info provider	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update code fails Modelling Graphical Framework Eclipse SDK Release	NPE status code
259233	path discovery Discovery URI Bug JMDNS lost segment	Bug Discovery JMDNS URI path lost discovery
259389	Bug Discovery lookup SLP func detail scope atid aid http	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test PAUSE Pause Http tests Resume TIME Test pause HttpClient Http Client	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes Discovery naming Service getServiceTypeIDs Service Type IDs JmDNS DNS authority service DNS ECF	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server generic IRemoteServiceContainerAdapter IRemote Service Container Adapter Service class adapter AbstractGenericServer Abstract Generic Server support Generic GenericServerContainer Generic Server Container	Bug server supporrt remoteservice container adapter generic server
270332	patch fixed DocShares Doc Shares subject problems meaning reference ECF called Doc	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation StringBuffer String Buffer String LogService Log Service Buffer Service Log logging Bug details	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer Code bug impl Extension Analyzer class iks Point Bug	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv messages SLP jSLP SLP version Discovery Bug protocol change versions	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags jSLP SLP Bug attribute parser Discovery HTAB SLP bad Test	Bug Discovery jSLP Test parser bad tags SLP
302407	java Service exception ServiceURL Service URL Impl URL method RemoteServiceImpl Remote Service Impl callSync call Sync remotesrvs	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests DiscoveryTestsWithoutRegister Discovery Tests Register DNS Bug API suite Register Execute	Bug Discovery DNS Add API checks null test suite
316595	service Discovery retrieving Bug Defer retrieval instances lazily eagerly request	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Bug IServiceProperty IService Property Discovery Property IService property allowed	Bug Discovery Whitespaces allowed property
327029	Service method IFooService IFoo Service foo rosgiFoo rosgi Foo OSGi Proxy rosgi Smart IFoo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location URI service bug dev discovery port zookeeper problem mailing	Bug discovery zookeeper location URI include port
327379	Factory IRemoteCallFactory IRemote Call Factory RemoteCallFactory Remote Call Factory Remote RestCallFactory Rest Call Factory factory remoteservice IRemote RemoteCalls Remote Calls Call	Bug IRemoteCallFactory IRemote Call Factory
327582	Service getRemoteServiceReferences Remote Service References implementation osgi incorrect Filter unnecessary idFilter Filter parameter Remote	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable Status status core ecf STATUS org exception Exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container CompositeDiscoveryContainer Composite Discovery Container discovery Composite Instance CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instantiator provider Description	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery Address resource Resource hostname ServiceResource Service Resource hostnames URI	Bug Discovery resilient broken hostnames
329054	Container Discovery provider discovery Composite containers CompositeDiscoveryContainer Composite Discovery Container IConnect connect providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container Container DiscoveryContainers Discovery Containers Composite Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container startup Zookeeper ZooDiscovery Zoo Discovery Container Slow BundleActivator Bundle Activator Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service services endpoint devsosgi Container remoteserviceadmin osgi container object	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
