90428	Jabber hotmail Provider Character login jabberserver ECF disables button user	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Client app provider Sync SOContainer ClientSOContainer Client SOContainer Time Initiator IConnect	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Client Container ContainerFactory Container Factory Application Standalone Eclipse standalone Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access local bugs bug assertion Service refsOne remote Local assertTrue assert True	Bug Local access local remoteservicereference implemented
172958	IRC Containers commands command Patch Channel Bug Container setup work	Bug IRC Patch commands Root Channel Containers
192574	isn settings Defaults Communications preference buttons Bug Apply affect empty	Bug Communications preference isn empty
196007	Presence highlights Hover pictures support Bug supports parse cool display	Bug Presence Hover highlights support pictures
198043	groups contacts dialog doesn Bug open entries list recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view settings messages Manager Folders Room ChatRoomManagerView Chat Room Manager View CTab Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc IRC hyperlink Chatroom Wrong underline Ctrl Bug move problem	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Service class Bug smaller parameters Info bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection freenode editor irc eclipse Bug channel click	Bug IRC Wrong connection click hyperlink
204329	remote client registry adapter Adapter Container Service remoteContainerTwo remote Container IRemote Bug	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL channel add hyperlinking topic account Bug	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update UNAVAILABLE Presence MSNContainer client type null provider	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet message null Message Server server XMPP XMPPContainer form XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	Google port user gmail XMPP doesn work Bug Talk provider	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password entered button connection Bug Steps Finish Open	Bug MSN mail password entered Finish button clicked
