90428	Jabber jabberserver hotmail Provider username user login usernames Character action	Bug Jabber Provider Character allowed Jabber login names
125572	ECF provider Sync app Initiator IConnect TimeSyncInitiator Time Sync Initiator ClientSOContainer Client SOContainer Client IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Client Container Application ecf Standalone Initializer Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access Service bug local bugs assertion remoteservice refsOne remote Local	Bug Local access local remoteservicereference implemented
172958	commands IRC Patch Channel Bug command setup work acceptable Containers	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn Communications preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	Presence highlights pictures Hover support supports parse hover Bug cool	Bug Presence Hover highlights support pictures
198043	contacts groups dialog open list entries Bug doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view CTab ChatRoomManagerView Chat Room Manager View Folders settings messages Manager Room Chat	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc hyperlink Wrong problem IRC underline fine Ctrl Bug move	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class parameters Bug smaller cumbersome Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection Connection irc freenode editor eclipse Bug channel click	Bug IRC Wrong connection click hyperlink
204329	Adapter remote IRemote registry adapter remoteContainerTwo remote Container getAdapter Adapter Container Service client	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat IRC channel add hyperlinking topic account hyperlinked	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn MSNContainer UNAVAILABLE presence client send provider null Message	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message packet null Message Server server XMPPContainer XMPP XMPPContainerPresenceHelper XMPPContainer Presence Helper form	Bug message XMPP Server displayed
222824	user port XMPP Google provider gmail talk Bug work doesn	Bug XMPP doesn work port Google Talk Host
222868	password MSN mail entered connection Bug button Finish wizard Select	Bug MSN mail password entered Finish button clicked
233808	Test Discovery provider SLP IService discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IDIService Service Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug usage Eclipse bit sun report seconds increases	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Container NPE targetID target timeouts disconnect IRC Timeout plugin	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI core api mailing dev eclipse Bug mhonarc	Bug api add IResourceID IResource
254833	Bundle BundleContext Bundle Context jslp SLP eclipse Discovery org slp system service	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService hostname JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery JMDNSDiscovery JMDNS registerService register Service getServiceName Service Fall	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
