35888	-1
50018	75
68606	-1
94366	-1
97605	117
108466	-1
108954	-1
109003	704
113004	-1
113870	8857
116919	-1
118694	27
119824	-1
119843	563
121622	8
125913	78
128683	937
129817	8582
130424	-1
134311	29
138093	42
138127	1772
138260	23
139037	659
139526	-1
140381	-1
146912	-1
147298	981
148171	-1
148687	626
149816	-1
150081	12
150305	1357
150916	368
151112	20
151502	799
152054	-1
152199	330
153093	1193
154493	768
155070	34
155158	1253
158418	222
158945	179
163384	146
164438	393
165672	-1
166680	4
166984	-1
168417	3
170474	-1
170678	-1
171962	407
172675	5
172721	-1
173072	221
173712	-1
175756	-1
179238	24
181091	219
181524	42
181883	45
181884	72
182075	10
182483	224
183073	310
183250	9
183405	3185
183587	-1
183708	90
184644	-1
185955	30
187228	4707
191231	1
197077	188
197817	9240
197906	22
198961	988
198965	2
199129	73
199896	15
201044	139
201304	1
201306	12
201369	46
201880	7
201966	7
202272	618
203126	129
203993	832
204719	-1
205493	99
206610	5361
206887	4170
207836	1640
208164	960
209046	229
209138	8
209554	2541
210018	205
210181	465
212755	-1
215579	522
216703	1787
216840	11
216946	1
217772	23
218223	81
220069	4
220235	191
221019	-1
221655	278
221852	974
224447	-1
226788	1
228044	-1
228765	867
228840	598
229070	539
229441	171
229584	1621
229624	257
229626	101
230248	2282
230447	96
231688	140
231977	-1
232463	2
232706	142
232771	2418
241503	77
247663	3458
248519	14
251970	-1
252751	-1
256859	2982
258969	1736
260913	1372
261474	521
262918	826
264383	67
270549	4153
272107	-1
272641	375
272654	1322
273049	82
274646	316
274678	4
274724	3
280286	4
280630	203
292938	23
293474	-1
295577	-1
297115	23
302928	2287
307149	924
308547	52
312466	1
319268	29
321624	613
321891	-1
322672	186
324773	361
342512	-1
367980	35
405015	-1
417603	6883
429902	1
435321	19
436418	4786
443114	19
443338	1607
461083	23
465909	20
482171	-1
484548	326
488805	-1
496382	2955
