59	Calendar DateUtils Utils MDT MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum enums compare values ValuedEnum Valued Enum Valued compareTo compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Format currentTimeMillis current Time Millis DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis format Millis Time Duration	DurationFormatUtils returns wrong result Duration Format Utils
292	FFFF xFFFF FFFF test Number Test Unescape EntitiesTest Entities Test testNumberOverflow test Number Overflow Overflow	unescapeXml unescape Xml
295	Str thisBuf Buf Buf StrBuilder Str Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	appendFixedWidthPadLeft append Fixed Width Pad Left padChar pad Char Str str Array pad size Char appendFixedWidthPadRight append Fixed Width Pad width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Digits createNumber create Number NumberFormatException Number Format Exception numeric isDigits Digits NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableSet Set Null LocaleUtils Locale Utils NullPointerException Null Pointer Exception constructor availableLocaleSet Locale Set initialized lang cAvailableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend getTime Time continue Watch Time pause StopWatch Watch	StopWatch suspend acts split Watch
328	Locale country toLocale Locale LocaleUtils Locale Utils language toString String String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Jul testCalendar test Calendar test getTimeZone Time Zone getTime Time minutes Calendar Time DateUtils Utils GMT	Dates behaves incorrectly minutes seconds
363	Escape Java JavascriptEscape Javascript Escape Javascripts String str java Javascript JavaScriptUtils Java Script Utils escapeJavaScript escape Java Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils false Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale getDateTimeInstance Time Instance Time FastDateFormat Fast Format locale getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary	infinite loop Fraction reduce numerator
393	compare Decimal equals comparing compareTo compare BigDecimal Big Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null getNullText Null Text null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str abbreviate Word string WordUtils Word Utils upper String greater substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug http html	case insensitive string handling
457	Bounds StringIndexOutOfBoundsException String Bounds Exception String LANG Exception digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	formatRegistry format Registry Format Message FORMAT formatted ExtendedMessageFormatTest Extended Message Format Test Extended format ExtendedMessageFormat Extended Message Format	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
