59	result oct method dealing DST truncate hour DateUtils Utils lang MDT	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum enums compare classes ValuedEnum Valued Enum typesafe easily Valued Object compareTo compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	result Format set Utils Calendar DurationFormatUtils Duration Format Utils Duration returns cal wrong	DurationFormatUtils returns wrong result Duration Format Utils
292	Test Xml Unescape unescape unescapeXml unescape Xml	unescapeXml unescape Xml
295	Builder noticed length mistaken shouldn LANG Str reference thisBuf Buf Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	method str strLen str Len Pad Bug appendFixedWidthPadRight append Fixed Width Pad width class Width ArrayIndexOutOfBoundsException Array Bounds Exception	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Format Number Utils createNumber create Number NumberFormatException Number Format Exception create throws NumberUtils Number Utils digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null Set NullPointerException Null Pointer Exception Pointer Exception isAvailableLocale Locale	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend split bug Watch acts StopWatch Watch	StopWatch suspend acts split Watch
328	Locale exception rejects toLocale Locale LocaleUtils Locale Utils strings Utils variant language throws	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	output incorrectly seconds minutes Calendar Dates rounding behaves	Dates behaves incorrectly minutes seconds
363	aaa Escape Script Java uncorrectly method String script str alert	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	drop BooleanUtils Boolean Utils toBoolean Boolean Utils Bounds statement false invalid String Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale getDateTimeInstance Time Instance Instance FastDateFormat Fast Format assume getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	reduce infinite loop Fraction numerator	infinite loop Fraction reduce numerator
393	Big correctly don compare Equals Decimal Builder comparing EqualsBuilder Equals Builder BigDecimal Big Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Str null Builder nulls handle appendFixedWidth append Fixed Width StrBuilder Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str abbreviate Word string WordUtils Word Utils bug upper adjusted length greater	WordUtils abbreviate bug greater str length Word Utils
432	string intended insensitive handling String sensitive locale case Case	case insensitive string handling
