59	Calendar DateUtils Utils MDT MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum enums compare values ValuedEnum Valued Enum Valued compareTo compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Format currentTimeMillis current Time Millis DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis format Time Duration	DurationFormatUtils returns wrong result Duration Format Utils
292	FFFF xFFFF FFFF test Test Unescape EntitiesTest Entities Test Overflow	unescapeXml unescape Xml
295	thisBuf Buf Buf StrBuilder Str Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	appendFixedWidthPadLeft append Fixed Width Pad Left padLen pad Len padChar pad Char String str strLen str Len pad Pad size Capacity	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Digits createNumber create Number isDigits Digits NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableSet Set LocaleUtils Locale Utils availableLocaleSet Locale Set cAvailableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend getTime Time Time pause	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	testCalendar test Calendar seconds TimeZone Time Zone getTimeZone Time Zone getTime Time minutes Calendar Time DateUtils Utils GMT	Dates behaves incorrectly minutes seconds
363	Escape Java JavascriptEscape Javascript Escape Javascripts String str java Javascript JavaScriptUtils Java Script Utils scripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale getDateTimeInstance Time Instance locale getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary	infinite loop Fraction reduce numerator
393	compare Decimal comparing compareTo compare BigDecimal Big Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str abbreviate Word string WordUtils Word Utils String	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug http html	case insensitive string handling
457	Bounds StringIndexOutOfBoundsException String Bounds Exception String LANG Exception digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	escaping formatRegistry format Registry Format FORMAT formatted ExtendedMessageFormatTest Extended Message Format Test format formattedPattern formatted Pattern ExtendedMessageFormat Extended Message Format escapingOn escaping	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	Escape characters escapeHtml escape Html utf Characters unicode Html String escape StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Digit Number Decimal isNumber Number decimal BigDecimal Big Decimal NumberUtils Number Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	dateTime Time getTimeZone Time Zone getTime Time Calendars Calendar GregorianCalendar Gregorian Calendar format Time CalendarIsoMsZulu Calendar Iso Zulu testFormat test Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	StringUtilsTest String Utils Test StringUtils String Utils replace replaceEach replace replacementList replacement List String replacement	StringUtils replaceEach Bug Missing Documentation String Utils replace
