59	switching method dealing Utils assert Calendar assertEquals assert Equals DateUtils Utils MDT MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compare compareTo compare Enum enums values Valued	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	currentTimeMillis current Time Millis getTimeInMillis Time Millis Duration MONTH Format DECEMBER Calendar format formatPeriod format Period DurationFormatUtils Duration Format Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test unescapeXml unescape Xml FFFF xFFFF FFFF Number testNumberOverflow test Number Overflow test Test Xml unescape	unescapeXml unescape Xml
295	Str thisBuf Buf Buf size length StrBuilder Str Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	padChar pad Char str Char Fixed getNullText Null Text append Str size Width width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberFormatException Number Format Exception Number NumberUtils Number Utils digit works string Digits numeric substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale FindBugs Find Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set Null constructor NullPointerException Null Pointer Exception initialized Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	pause getTime Time Watch Time StopWatch Watch suspend continue	StopWatch suspend acts split Watch
328	language PropertyConverter Property Converter Locale country toLocale Locale String POSIX JDK toString String Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar Jul testCalendar test Calendar getTimeZone Time Zone minutes appears GMT seconds TimeZone Time Zone produces	Dates behaves incorrectly minutes seconds
363	Java String Utils Escape JavascriptEscape Javascript Escape Javascripts Lang println Javascript JavaScriptUtils Java Script Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean Exception method Utils assert assertEquals assert Equals BooleanUtils Boolean Utils statement false invalid	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance HashMap Hash Map Hash getDateInstance Instance Locale Instance locale items Time FastDateFormat Fast Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction numerator	infinite loop Fraction reduce numerator
393	compare equals comparing compareTo compare Decimal Decimals BigDecimal Big Decimal BigDecimals Big Decimals Equals EqualsBuilder Equals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
