59	truncate MDT hour DateUtils Utils result oct assert switching hours DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued int typesafe commons apache lang return totally org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar result set cal Time Duration System DurationFormatUtils Duration Format Utils DAY	DurationFormatUtils returns wrong result Duration Format Utils
292	Test doTestUnescapeEntity Test Unescape Entity unescape reference entity test void Entity testNumberOverflow test Number Overflow throws	unescapeXml unescape Xml
295	Str StrBuilder Str Builder length thisBuf Buf LANG Builder noticed places shouldn mistaken	StrBuilder usages thisBuf length size Str Builder Buf
299	width str method strLen str Len size StrBuilder Str Builder append obj Null pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number fine numeric substring NumberFormatException Number Format Exception string createNumber create Number isDigits Digits empty throws	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale initialized pointed Find apache NullPointerException Null Pointer Exception Null commons Set lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend time doesn shouldn counter increase acts bug StopWatch Watch	StopWatch suspend acts split Watch
328	Locale toLocale Locale variant case string language LocaleUtils Locale Utils POSIX strings Configuration	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar test minutes CDT Time behaves output produces Mon testCalendar test Calendar	Dates behaves incorrectly minutes seconds
363	Escape script String Spring uncorrectly find render escape println Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	case Boolean toBoolean Boolean false BooleanUtils Boolean Utils String test StringIndexOutOfBoundsException String Bounds Exception statement follow	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance key getDateTimeInstance Time Instance Locale case test Fast Hash getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	reduce loop Fraction pretty Summary infinite numerator	infinite loop Fraction reduce numerator
393	Big compare BigDecimal Big Decimal don compareTo compare equals correctly Equals comparing case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	null appendFixedWidth append Fixed Width Fixed Null handle append set Builder nulls Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	upper length string str abbreviate Word greater Bounds String StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Common html Bugs locale Case String sensitive intended handling	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number String don createNumber create Number place digit Bounds front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	String format Format code ExtendedMessageFormat Extended Message Format Extended QUOTE append formatRegistry format Registry static	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters unicode incorrectly displays problem escapeHtml escape Html commons org byte	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	return Number decimal chars number exponent isNumber Number Decimal trailing Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar test Format dateTime Time format cal noformat GMT TimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	null String case replaceEach replace Test StringUtils String Utils replace replacement replacementList replacement List result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org ToStringStyle String Style memory created String thread LANG Code application fdrsqgbh	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String StringIndexOutOfBoundsException String Bounds Exception passed Exception createNumber create Number throws argument NumberFormatException Number Format Exception indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	locale week FastDateFormat Fast Format SimpleDateFormat Simple Format Fast format Locale Week output set	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction MIN Integer test Reduced method result code assert Equals	org apache commons lang math Fraction reduce Integer MIN
664	code Number String return chars hasExp Exp Dec Exp isNumber Number Digit	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Time Calendar cal method set HOUR assertFalse assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	Java pattern year Fast SimpleDateFormat Simple Format bug behavior number formatted adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number upper NumberFormatException Number Format Exception Integer decode Format handles createNumber create Number NumberUtils Number Utils work	NumberUtils handle upper case hex Number Utils
747	Long hex Integer numbers create handle Number createNumber create Number decode createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception noformat SerializationUtils Serialization Utils primitive Serialization class bug Exception return	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code chars lang array start Bounds false Array Utils	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random confusing throws Utils Argument lang start Illegal IllegalArgumentException Illegal Argument Exception source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal Big behaviour create leading createNumber create Number nulll work check	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	white space Fast parse parsed FastDateParser Fast Parser dates fail Javadoc Format	FastDateParser handle white space properly Fast Parser
832	format unterminated quotes parse Simple Fast handle handled correctly SimpleDateFormat Simple Format	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence String Char code translate quote work equals CharBuffer Char Buffer implemented	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
