90428	Jabber jabberserver hotmail Provider Character login ECF username disables usernames	Bug Jabber Provider Character allowed Jabber login names
125572	Sync Client ECF SyncSOClientContainer Sync SOClient Container IConnect app ClientSOContainer Client SOContainer provider SOContainer TimeSyncInitiator Time Sync Initiator	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Application Client Initializer Null ecf Standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local bugs access bug remoteContainerOne remote Container IRemote remote assertion Service refsOne	Bug Local access local remoteservicereference implemented
172958	commands IRC Containers command Patch Channel Bug Container setup work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover pictures hover support Bug supports parse cool	Bug Presence Hover highlights support pictures
198043	groups contacts dialog doesn open Bug entries list recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders CTab Folders view settings messages Manager Room ChatRoomManagerView Chat Room Manager View Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc IRC hyperlink Chatroom Wrong Ctrl underline problem Bug underlined	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class parameters Bug smaller cumbersome Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Connection freenode editor click eclipse Bug channel	Bug IRC Wrong connection click hyperlink
204329	remote client registry remoteContainerTwo remote Container IRemoteServiceReference IRemote Service Reference adapter IRemote Adapter Container Service	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL topic channel add hyperlinking account Bug	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update presence MSNContainer getStatus Status Presence UNAVAILABLE Status Update client	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer message null Message Server XMPPContainerPresenceHelper XMPPContainer Presence Helper server XMPP form	Bug message XMPP Server displayed
222824	port XMPP Google gmail user doesn work talk Bug Talk	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail entered connection Steps button Bug Open wizard	Bug MSN mail password entered Finish button clicked
233808	Test IService Discovery Service IDIService Listener discovery SLP provider DiscoveryTest Discovery Test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage Eclipse bug bit seconds increases Bug sun	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container targetID target IRCChannel disconnect Container NPE timeouts Timeout target plugin	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI api mailing dev html eclipse Bug	Bug api add IResourceID IResource
254833	jslp Bundle BundleContext Bundle Context SLP Discovery eclipse org slp Activator system	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery getServiceName Service IServiceInfo IService Info hostname Discovery JMDNS	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IServiceID IService Discovery service Service discovery IService SLP fall fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
