90428	Jabber jabberserver button hotmail Provider action username user login usernames	Bug Jabber Provider Character allowed Jabber login names
125572	Initiator provider ECF ClientSOContainer Client SOContainer Sync IConnect SyncSOClientContainer Sync SOClient Container app TimeSyncTask Time Sync Task SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Client Container Application Initializer ecf Null Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteservice bug access bugs Service remote Remote registered assertion	Bug Local access local remoteservicereference implemented
172958	commands IRC Bug Patch Containers command Channel Container setup work	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn Communications buttons preference Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover pictures hover support Bug supports parse cool	Bug Presence Hover highlights support pictures
198043	groups contacts entries list dialog open Bug doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View CTab Chat Room Folders view settings messages Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine IRC irc hyperlink problem Wrong Chatroom underline Ctrl works	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class parameters Bug smaller cumbersome Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc Connection net freenode click editor eclipse Bug	Bug IRC Wrong connection click hyperlink
204329	Adapter IRemote remoteContainerTwo remote Container remote client getAdapter Adapter registry IRemoteServiceReference IRemote Service Reference adapter Service	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC hyperlinked topic channel add hyperlinking account	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence client Presence UNAVAILABLE Message provider send	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server XMPPContainer message null XMPPContainerPresenceHelper XMPPContainer Presence Helper Message Server form XMPP	Bug message XMPP Server displayed
222824	user port XMPP Google provider gmail talk Host Bug work	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN mail button connection Bug Finish clicked wizard	Bug MSN mail password entered Finish button clicked
233808	Test IService Discovery provider IDIService DiscoveryTest Discovery Test Listener testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener SLP discovery	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU sun bug usage Eclipse java bit report seconds	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel targetID target timeouts Container NPE disconnect Timeout IRC target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI dev core api mailing eclipse execution interface	Bug api add IResourceID IResource
254833	Bundle jslp BundleContext Bundle Context SLP eclipse consumer service Discovery org Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscovery registerService register Service getServiceName Service JMDNSDiscoveryContainer JMDNSDiscovery Container hostname Service Discovery JMDNS	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IServiceID IService Discovery service Service discovery IService SLP fall fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns Discovery IService Container Info exchanges	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService jslp IServiceInfo IService Info IService Info Discovery SecurityException Security Exception eclipse SLP	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK status Framework code NPEs Eclipse EMF Created fails	NPE status code
259233	discovery Discovery URI path JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP Discovery func aid Bug case scope tracker sourceforge lookup	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Http pause resource URLRetrieve tests provider entire HttpClient Http Client Pause	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes Discovery Service JmDNS DNS IServiceTypeID IService Type service authority naming default	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter generic Generic support Server GenericServerContainer Generic Server Container IRemote class	Bug server supporrt remoteservice container adapter generic server
270332	patch called DocShares Doc Shares problems docshare Doc meaning attachment fixed ECF	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service StringBuffer String Buffer implementation Log String logging details Buffer misses Service	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug ExtensionPoint Extension Point class Extension Code Point osgi service point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv messages jSLP SLP version Discovery protocol Bug discard versions	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags jSLP SLP Discovery bad Bug SLP attribute HTAB Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Service remotesrvs ServiceURL Service URL type osgi callSync call Sync exception Impl java method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests API DNS DiscoveryTestsWithoutRegister Discovery Tests Register suite checks Bug Add	Bug Discovery DNS Add API checks null test suite
316595	service lazily Discovery Defer retrieval Bug eagerly unit test retrieving	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IService Discovery IServiceProperty IService Property Property Bug allowed property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service rosgi Service foo Proxy SmartProxyService Smart Proxy Service OSGi method Smart IFoo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev bug mailing solution zookeeper problem location discovery eclipse port	Bug discovery zookeeper location URI include port
327379	Remote RemoteCallFactory Remote Call Factory factory IRemoteCallFactory IRemote Call Factory Factory IRemote Call RemoteCalls Remote Calls remoteservice rest	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References osgi implementation incorrect Remote idFilter Filter unnecessary Service String parameter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Status org Exception status core eclipse STATUS exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Composite Discovery Container CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator discovery Instance CDC createInstance create Instance advertisers	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service Address ServiceResource Service Resource discovery hostname resource ecf getInetAddress Inet Address broken	Bug Discovery resilient broken hostnames
329054	Container Composite Discovery provider discovery IConnect connect containers CompositeDiscoveryContainer Composite Discovery Container ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Discovery Composite Container Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container BundleActivator Bundle Activator ZooDiscovery Zoo Discovery startup Bundle Zookeeper start Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service osgi endpoint devsosgi ecf services remoteserviceadmin ERROR Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
