90428	jabberserver Jabber username usernames hotmail user	Bug Jabber Provider Character allowed Jabber login names
125572	IConnectContext IConnect Context IConnect SyncSOClientContainer Sync SOClient Container Sync TimeSyncTask Time Sync Task TimeSyncInitiator Time Sync Initiator sendTimeSyncMessage send Time Sync Message ClientSOContainer Client SOContainer Client SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory Container ClientApplication Client Application Initializer ecf ECF Application Exception Error	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteContainerOne remote Container remote Remote IRemoteServiceReference IRemote Service Reference remoteservice IRemote local locally bug bugs	Bug Local access local remoteservicereference implemented
172958	containers Container command commands	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings	Bug Communications preference isn empty
196007	hover highlights pictures	Bug Presence Hover highlights support pictures
198043	groups contacts open	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	underlined click problem Open Ctrl	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC Connection connection	Bug IRC Wrong connection click hyperlink
204329	IRemoteServiceReference IRemote Service Reference remote Remote getRemoteServiceReferences Remote Service References remoteContainerTwo remote Container IRemote server client	Bug remoteservice registry updated adapter accessed connect
205532	subject topic hyperlinked	Bug IRC add hyperlinking chat subject box
208667	Status sendPresenceUpdate send Presence Update getStatus Status MSNContainer msn Update Message setPersonalMessage set Personal Message Presence presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packet	Bug message XMPP Server displayed
222824	XMPP port talk host gmail	Bug XMPP doesn work port Google Talk Host
222868	password MSN entered connection Steps wizard Open Select	Bug MSN mail password entered Finish button clicked
233808	IService IDIService Service DiscoveryTest Discovery Test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener test Test tests Discovery discovery	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	bug MSN CPU connect disconnect hour normal	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Timeout timeouts TimeoutException Timeout Exception connecting connect rootContainer root Container	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource	Bug api add IResourceID IResource
254833	jslp slp BundleContext Bundle Context Bundle	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns IServiceID IService IService IServiceInfo IService Info getServiceName Service registerService register Service Service	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IService IServiceID IService Service service getServiceName Service	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	jmdns JMDNS JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info IService	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPService JSLPServiceInfo JSLPService Info IServiceInfo IService Info jslp IService java	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	NPEs Update update error number fails SDK	NPE status code
259233	discovery URI path	Bug Discovery JMDNS URI path lost discovery
259389	atid func tracker aid detail group net	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes getServiceTypeIDs Service Type IDs Service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Generic generic AbstractGenericServer Abstract Generic Server Abstract Adapter adapter Service server Server support	Bug server supporrt remoteservice container adapter generic server
270332	docshare patch fixed proposed called problems Created strange subject adding	Bug called DocShares ECF Generic group handling Doc Shares
273135	StringBuffer String Buffer String	Bug LogService implementation misses details logging Log Service
