90428	jabberserver Jabber username usernames hotmail user	Bug Jabber Provider Character allowed Jabber login names
125572	IConnectContext IConnect Context IConnect TimeSyncTask Time Sync Task initSyncService init Sync Service Service ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container TimeSyncInitiator Time Sync Initiator killConnection kill Connection Initiator	Bug ECF Generic provider thread interlock
134483	ContainerFactory Container Factory ECFPlugin Initializer Container ecf ECF ClientApplication Client Application Client Factory Application	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice remote Remote remoteContainerOne remote Container IRemoteServiceReference IRemote Service Reference local Service locally bug bugs	Bug Local access local remoteservicereference implemented
172958	containers Container command commands	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons	Bug Communications preference isn empty
196007	hover highlights pictures	Bug Presence Hover highlights support pictures
198043	groups contacts entries list open	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders CTab ChatRoomManagerView Chat Room Manager View Chat Room	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine problem works underlined click	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC Connection connection net	Bug IRC Wrong connection click hyperlink
204329	IRemoteServiceReference IRemote Service Reference remoteContainerTwo remote Container remote Remote IRemote Adapter getAdapter Adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter getRemoteServiceReferences Remote Service References client	Bug remoteservice registry updated adapter accessed connect
205532	hyperlinked subject topic URL accessed	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update send MSNContainer msn Message setPersonalMessage set Personal Message client provider	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packet server	Bug message XMPP Server displayed
222824	XMPP user host provider port talk gmail	Bug XMPP doesn work port Google Talk Host
222868	password entered	Bug MSN mail password entered Finish button clicked
233808	IService DiscoveryTest Discovery Test IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service test Test tests provider Discovery	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	bug MSN CPU sun connect java disconnect hour normal	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Timeout timeouts TimeoutException Timeout Exception connecting connect IRC fireContainerEvent fire Container Event rootContainer root Container	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource interface identity URI	Bug api add IResourceID IResource
254833	jslp slp BundleContext Bundle Context Bundle eclipse Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns IServiceID IService IService getServiceName Service IServiceInfo IService Info registerService register Service Service provider	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IService IServiceID IService Service service getServiceName Service	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	jmdns JMDNS JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container IService	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPService JSLPServiceInfo JSLPService Info IService jslp IServiceInfo IService Info java	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error fails SDK Framework NPEs	NPE status code
259233	discovery URI path	Bug Discovery JMDNS URI path lost discovery
259389	atid func tracker aid detail group net	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes getServiceTypeIDs Service Type IDs Service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	generic Generic Abstract GenericServerContainer Generic Server Container IRemoteServiceContainerAdapter IRemote Service Container Adapter IRemote server Server Adapter adapter	Bug server supporrt remoteservice container adapter generic server
