59	MST MDT DateUtils Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare compare Enum enums ValuedEnum Valued Enum values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration getTimeInMillis Time Millis currentTimeMillis current Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF FFFF Unescape test Test Overflow	unescapeXml unescape Xml
295	StrBuilder Str Builder length thisBuf Buf Str Buf Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	pad Width width strLen str Len str Pad padLen pad Len ArrayIndexOutOfBoundsException Array Bounds Exception appendFixedWidthPadRight append Fixed Width Pad appendFixedWidthPadLeft append Fixed Width Pad Left	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberUtils Number Utils Number Digits isDigits Digits NumberFormatException Number Format Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set Locale LocaleUtils Locale Utils availableLocaleSet Locale Set cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	getTime Time Time StopWatch Watch pause suspend split Watch	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	TimeZone Time Zone minutes seconds getTime Time Time getTimeZone Time Zone GMT	Dates behaves incorrectly minutes seconds
363	javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils escape Escape java Java	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary	infinite loop Fraction reduce numerator
393	compare comparing compareTo compare	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	String string abbreviate substring WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	Case case sensitive insensitive Bug Bugs	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception digit LANG Exception String Bounds	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format FORMAT formatted formatRegistry format Registry formattedPattern formatted Pattern ExtendedMessageFormat Extended Message Format ExtendedMessageFormatTest Extended Message Format Test escapingOn escaping escaping	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	utf unicode Characters characters escape Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	decimal Digit number Number NumberUtils Number Utils point Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	TimeZone Time Zone Calendar Time getTimeZone Time Zone GMT GregorianCalendar Gregorian Calendar testFormat test Format noformat Calendars CalendarIsoMsZulu Calendar Iso Zulu	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace replacement StringUtils String Utils String replaceEach replace replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread leak commons	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587		ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils Number	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format SimpleDateFormat Simple Format firstDayOfWeek Day Week Week week Locale locale format Format minimalDaysInFirstWeek minimal Days Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Denominator denominator FractionTest Fraction Test numerator Integer int	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils Number	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Assert assert assertFalse assert False setTimeInMillis set Time Millis Calendar DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	JDK Javadoc format Format FastDateFormat Fast Format SimpleDateFormat Simple Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer	NumberUtils handle upper case hex Number Utils
747	Number numbers NumberUtils Number Utils Integer createLong create Long Long digits	NumberUtils handle Long Hex numbers Number Utils
788	Serialization primitiveType primitive Type SerializationUtils Serialization Utils ObjectInputStream Object Input Stream SerializationUtilsTest Serialization Utils Test primitiveTypeClassSerialization primitive Type Class Serialization classLoader class Loader primitive Class ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	null empty length size random chars Int int char exception	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random	RandomStringUtils throws confusing IAE start Random String Utils
822	NumberUtils Number Utils Number	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser SimpleDateFormat Simple Format parse parsed	FastDateParser handle white space properly Fast Parser
832	SimpleDateFormat Simple Format quotes parse parsed	FastDateParser handle unterminated quotes correctly Fast Parser
