59	DateUtils Utils MDT Calendar Utils Equals lang hour buggy DST MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum compareTo compare ValuedEnum Valued Enum values typesafe classes compare Object enums org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis Time Calendar currentTimeMillis current Time Millis String Dec Millis Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test testNumberOverflow test Number Overflow Number Unescape doTestUnescapeEntity Test Unescape Entity xFFFF FFFF Entity Test FFFF	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length Buf Builder LANG shouldn size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str ArrayIndexOutOfBoundsException Array Bounds Exception width appendFixedWidthPadRight append Fixed Width Pad Array appendFixedWidthPadLeft append Fixed Width Pad Left padChar pad Char Width size append	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Exception Format Utils string works Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Null Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Exception Bugs FindBugs Find Bugs constructor Pointer	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch pause Time time counter shouldn acts opinion split	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country case POSIX Utils code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds TimeZone Time Zone Jul DateUtils Utils test getTimeZone Time Zone getTime Time System	Dates behaves incorrectly minutes seconds
363	Escape String javaScriptEscape java Script Escape escape JavascriptEscape Javascript Escape Javascripts Javascript Java scripts JavaScriptUtils Java Script Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case Exception test Utils statement source String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance locale getDateTimeInstance Time Instance Locale FastDateFormat Fast Format Time case Format Instance methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary Fraction loop numerator	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compareTo compare Decimal Big compare Decimals comparing EqualsBuilder Equals Builder Builder BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	getNullText Null Text Null pointer width Builder null Fixed appendFixedWidth append Fixed Width StrBuilder Str Builder Width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	String string str Word WordUtils Word Utils substring length StringIndexOutOfBoundsException String Bounds Exception Utils Exception	WordUtils abbreviate bug greater str length Word Utils
432	Case case Bugs http locale Bug sensitive String insensitive details	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Exception String LANG digit Bounds front Utils Number NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message ExtendedMessageFormat Extended Message Format Format format Extended formatRegistry format Registry ExtendedMessageFormatTest Extended Message Format Test code appendTo append Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	utf escapeHtml escape Html StringEscapeUtils String Escape Utils unicode Html String characters Escape escape import	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number return decimal NumberUtils Number Utils Digit Utils code Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Zone getTimeZone Time Zone GMT Format test GregorianCalendar Gregorian Calendar format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace replacementList replacement List Test StringUtils String Utils Utils case searchList search List StringUtilsTest String Utils Test	StringUtils replaceEach Bug Missing Documentation String Utils replace
