59	DAY MDT DateUtils Utils Calendar Utils Equals lang hour buggy oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum compareTo compare values classes ValuedEnum Valued Enum typesafe compare enums Object int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar Time getTimeInMillis Time Millis String currentTimeMillis current Time Millis Format formatPeriod format Period Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	test EntitiesTest Entities Test Test void testNumberOverflow test Number Overflow doTestUnescapeEntity Test Unescape Entity Unescape Entity reference Exception	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf Buf Builder length LANG shouldn noticed size	StrBuilder usages thisBuf length size Str Builder Buf
299	Width width size str appendFixedWidthPadRight append Fixed Width Pad pad Char padChar pad Char int Array	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Exception Format Utils string works Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Null Exception cAvailableLocaleSet Locale Set Locale availableLocaleSet Locale Set LocaleUtils Locale Utils Bugs FindBugs Find Bugs Pointer	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch time pause counter shouldn acts sleep suspend	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country case POSIX Utils code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds Time DateUtils Utils TimeZone Time Zone test getTimeZone Time Zone Jul System	Dates behaves incorrectly minutes seconds
363	Java Escape Javascripts scripts Script JavascriptEscape Javascript Escape String javaScriptEscape java Script Escape Javascript escapeJavaScript escape Java Script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean StringIndexOutOfBoundsException String Bounds Exception Exception String test Utils toBoolean Boolean case statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format locale getDateTimeInstance Time Instance getDateInstance Instance Time Locale Format case Instance methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary Fraction loop numerator	infinite loop Fraction reduce numerator
393	compareTo compare BigDecimal Big Decimal Big Decimal compare Decimals comparing EqualsBuilder Equals Builder Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	getNullText Null Text Null pointer width null Builder exception Fixed appendFixedWidth append Fixed Width StrBuilder Str Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length String str substring WordUtils Word Utils Word StringIndexOutOfBoundsException String Bounds Exception Utils Exception	WordUtils abbreviate bug greater str length Word Utils
432	Case case Bugs http locale Bug sensitive String insensitive details	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Exception Bounds front throws Utils Number NumberUtils Number Utils LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
