90428	Jabber Join group hotmail user login action disables jabberserver button	Bug Jabber Provider Character allowed Jabber login names
125572	Time app ECF Sync Client Initiator provider SOContainer Thread Container	Bug ECF Generic provider thread interlock
134483	Client Container Eclipse Null Pointer ECFPlugin ClientApplication Client Application Factory ContainerFactory Container Factory ecf	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug bugs assertion Service refsOne access remote issues Paul Woodward	Bug Local access local remoteservicereference implemented
172958	command Containers IRC Channel Container Patch setup commands work Bug	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn buttons preference Bug Communications Apply affect empty	Bug Communications preference isn empty
196007	Presence pictures support Hover parse highlights supports display XMPP cool	Bug Presence Hover highlights support pictures
198043	groups entries contacts list dialog users doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	Manager settings view CTabFolders CTab Folders Room follow ChatRoomManagerView Chat Room Manager View CTab Chat patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	hyperlink Ctrl irc move IRC Steps Chatroom underline channel Wrong	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Service smaller class Info Bug bug parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC editor irc freenode Connection eclipse channel chatroom appears	Bug IRC Wrong connection click hyperlink
204329	Adapter remote adapter getAdapter Adapter client Service Remote registry Container remoteContainerTwo remote Container	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat channel account topic hyperlinking IRC box add	Bug IRC add hyperlinking chat subject box
208667	presence Presence msn instance client UNAVAILABLE sendPresenceUpdate send Presence Update null Update Personal	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	server null Message packet message form Server Presence type user	Bug message XMPP Server displayed
222824	Google user port talk XMPP provider default Talk gmail work	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password connection button Steps entered Bug Open clicked	Bug MSN mail password entered Finish button clicked
233808	Listener Discovery Test provider Service test discovery SLP IService Type	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	bit CPU MSN report usage Eclipse bug guess seconds sun	Bug MSN CPU usage increases connecting
242950	Container targetID target timeouts IRCChannel IRCChannelContainer IRCChannel Container NPE plugin irc provider Timeout	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource mailing URI dev core CDC IResource java msg mhonarc	Bug api add IResourceID IResource
254833	system service Bundle BundleContext Bundle Context consumer SLP resources ethz org eclipse	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService Container IServiceID IService container hostname Service registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container checks Discovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service Discovery Service discovery getServiceName Service IServiceID IService fall SLP fine eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service Container container JMDNS Info provider weight priority JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info SecurityException Security Exception Info doesn IServiceInfo IService Info Security Discovery eclipse ecf container	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error Eclipse log code SDK dialogs Install update EMF Created	NPE status code
259233	discovery Discovery URI JMDNS path lost segment Bug	Bug Discovery JMDNS URI path lost discovery
