90428	user action Jabber Finish hotmail Character character group login button	Bug Jabber Provider Character allowed Jabber login names
125572	Client Time provider app ECF Sync Task Initiator thread SOContainer	Bug ECF Generic provider thread interlock
134483	Client Application ECFPlugin Factory Container ClientApplication Client Application ContainerFactory Container Factory standalone Pointer provider	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bugs access assertion Paul bug refsOne issues address local	Bug Local access local remoteservicereference implemented
172958	setup Channel command work Patch commands continue IRC Containers Container	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn buttons Apply preference Communications affect Bug Restore	Bug Communications preference isn empty
196007	Presence pictures highlights display support Hover parse supports cool XMPP	Bug Presence Hover highlights support pictures
198043	contacts groups open users dialog list recognize entries doesn Bug	Bug open contacts dialog doesn recognize users groups
198334	settings Room Manager view messages CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Folders Messages patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc problem channel text Chatroom Ctrl hyperlink move works	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info constructors class smaller discovery takes Info parameters cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC appears editor click channel irc freenode eclipse problems	Bug IRC Wrong connection click hyperlink
204329	Service client registry connect remote Adapter adapter container getAdapter Adapter accessed	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL channel account easily topic hyperlinking IRC main	Bug IRC add hyperlinking chat subject box
208667	client presence msn Update set Pointer UNAVAILABLE Presence instance sendPresenceUpdate send Presence Update	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message null message form Server server Presence packet user handle	Bug message XMPP Server displayed
222824	user Google port work provider gmail talk Host XMPP Talk	Bug XMPP doesn work port Google Talk Host
222868	password MSN button connection mail Finish clicked Open Bug entered	Bug MSN mail password entered Finish button clicked
233808	Test Discovery Type Listener Service discovery SLP provider test IService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN usage CPU seconds report bit guess chosen bug Eclipse	Bug MSN CPU usage increases connecting
242950	Container target irc Exception targetID target timeouts IRCChannel IRCChannelContainer IRCChannel Container NPE variable	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	core dev mailing IResourceID IResource IResource URI environment org html minimum	Bug api add IResourceID IResource
