59	DateUtils Utils MDT hour lang Calendar truncate Utils buggy Equals DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum typesafe Object compare values Valued classes int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar getTimeInMillis Time Millis set Time result currentTimeMillis current Time Millis String returns	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test testNumberOverflow test Number Overflow Test Unescape unescape Number doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml xFFFF FFFF	unescapeXml unescape Xml
295	StrBuilder Str Builder thisBuf Buf Str length Builder Buf LANG usages places reference	StrBuilder usages thisBuf length size Str Builder Buf
299	appendFixedWidthPadRight append Fixed Width Pad str method width ArrayIndexOutOfBoundsException Array Bounds Exception append Width Array appendFixedWidthPadLeft append Fixed Width Pad Left StrBuilder Str Builder	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Format Utils Exception throws string works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Locale Null cAvailableLocaleSet Locale Set Pointer Exception LocaleUtils Locale Utils Bugs FindBugs Find Bugs constructor	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch acts pause Time suspend split time counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language country strings Utils case POSIX rejects	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds TimeZone Time Zone Jul DateUtils Utils behaves test getTimeZone Time Zone getTime Time	Dates behaves incorrectly minutes seconds
363	Escape String escape StringEscapeUtils String Escape Utils escapeJavaScript escape Java Script Java Utils javaScriptEscape java Script Escape script JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case Utils statement Exception test false String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance FastDateFormat Fast Format Locale locale Instance Time case Format methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce numerator infinite	infinite loop Fraction reduce numerator
393	compare Big Decimal BigDecimal Big Decimal EqualsBuilder Equals Builder compareTo compare don Decimals BigDecimals Big Decimals comparing	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text StrBuilder Str Builder Null Builder pointer width Fixed handle null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils str string length String Word abbreviate substring upper greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug case http String insensitive string Case locale intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Exception createNumber create Number Bounds NumberUtils Number Utils Number LANG digit Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message ExtendedMessageFormat Extended Message Format Format Extended format String formatRegistry format Registry code pattern ExtendedMessageFormatTest Extended Message Format Test	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html StringEscapeUtils String Escape Utils String unicode characters utf Html Escape escape println	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number NumberUtils Number Utils return Utils decimal Digit code Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Zone Format format test GMT dateTime Time getTimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement StringUtils String Utils Utils replacementList replacement List Test replace case searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread ThreadLocals Thread Locals String leak org HashCodeBuilder Hash Code Builder Style LANG	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE Object Class ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number StringIndexOutOfBoundsException String Bounds Exception String NumberFormatException Number Format Exception Exception throws Format Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale Format SimpleDateFormat Simple Format Week format Simple Locale Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator Denominator MIN test FractionTest Fraction Test apache org method	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils String return Digit hasDecPoint Dec Point code hasExp Exp java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Time Utils Local Calendar class method Millis HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format Java SimpleDateFormat Simple Format FastDateFormat Fast Format pattern YYY format JDK formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case createNumber create Number handle NumberFormatException Number Format Exception Integer upper Utils Format	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long NumberUtils Number Utils createLong create Long hex createNumber create Number create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class primitiveType primitive Type primitive Utils noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	length code char Int random size chars nextInt Int int ends	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils start String throws source problem confusing lang	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils behaviour BigDecimal Big Decimal Decimal Big NumberFormatException Number Format Exception work Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space SimpleDateFormat Simple Format FDP white Parser dates SDP handle Format	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format FastDateParser Fast Parser parse format unterminated handle Format Simple handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer Sequence char work toString String accepts Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
