59	DateUtils Utils oct DAY MDT Calendar dealing truncate MST assertEquals assert Equals Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare Enum ValuedEnum Valued Enum compare enums typesafe Valued int values classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration currentTimeMillis current Time Millis getTimeInMillis Time Millis result Format Time returns format	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void test testNumberOverflow test Number Overflow unescapeXml unescape Xml unescape Exception EntitiesTest Entities Test Xml Unescape	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf noticed length Buf Builder usages size LANG	StrBuilder usages thisBuf length size Str Builder Buf
299	Width str appendFixedWidthPadRight append Fixed Width Pad width Char StrBuilder Str Builder padChar pad Char pad Fixed int	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception throws Digits digit works string numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set availableLocaleSet Locale Set LocaleUtils Locale Utils FindBugs Find Bugs Exception org cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch suspend pause continue resume sleep Thread getTime Time	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country Utils tests strings PropertyConverter Property Converter throws	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar Time seconds getTimeZone Time Zone TimeZone Time Zone GMT testCalendar test Calendar Jul behaves	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script Java Escape Script String StringEscapeUtils String Escape Utils java JavascriptEscape Javascript Escape Javascript Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils Utils String Exception false case invalid StringIndexOutOfBoundsException String Bounds Exception toBoolean Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format getDateTimeInstance Time Instance getDateInstance Instance Instance Format Time Locale Hash changed locale	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop infinite Fraction Summary reduce numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big EqualsBuilder Equals Builder BigDecimals Big Decimals comparing Decimal compareTo compare don Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Null null getNullText Null Text exception Str Builder handle nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils string str length String abbreviate upper substring greater Word	WordUtils abbreviate bug greater str length Word Utils
432	Bugs handling Bug string sensitive insensitive String case html http	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String createNumber create Number NumberUtils Number Utils throws Number Bounds Utils thows Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message format Extended ExtendedMessageFormat Extended Message Format String formatted formattedPattern formatted Pattern Broken code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode StringEscapeUtils String Escape Utils characters UTF Html Escape escape output	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	NumberUtils Number Utils Number isNumber Number decimal number Digit Decimal True valid Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone FastDateFormat Fast Format getTimeZone Time Zone GMT time change	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replace Utils replacement replacementList replacement List null replaceEach replace StringUtils String Utils Test result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory ToStringStyle String Style String trigger ThreadLocals Thread Locals org Hash application commons Code	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class ClassUtils Class Utils Utils Class throws NPE null element array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number throws Number NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception Utils String exponent Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format SimpleDateFormat Simple Format Week FastDateFormat Fast Format format locale Fast firstDayOfWeek Day Week minimalDaysInFirstWeek minimal Days Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN FractionTest Fraction Test apache int test getDenominator Denominator commons Divisor	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils isNumber Number Number Digit Exp String Utils hasExp Exp return code	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DAY DateUtils Utils method setTimeInMillis set Time Millis Calendar Utils work Local	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format year Java SimpleDateFormat Simple Format format YYY pattern formats JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case Utils handle upper work Integer NumberFormatException Number Format Exception	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils numbers Integer createNumber create Number Long createLong create Long create octal handle	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Serialization SerializationUtils Serialization Utils primitive ObjectInputStream Object Input Stream Object ObjectStreamClass Object Stream Class Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars Int int useless char Fixed null RandomStringUtils Random String Utils takes	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Exception Illegal RandomUtils Random Utils throws Int java RandomStringUtils Random String Utils identify	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils Decimal BigDecimal Big Decimal leading behaviour Exception Utils methods	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser Format treats white SimpleDateFormat Simple Format parse treat space parsed	FastDateParser handle white space properly Fast Parser
832	format unterminated SimpleDateFormat Simple Format FastDateParser Fast Parser Format handled handle quotes parse parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String char code CharBuffer Char Buffer text LookupTranslator Lookup Translator Hash hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
