59	DateUtils Utils MDT truncate oct hour DAY result Calendar assert lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare typesafe Enum int compare enums Object values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils result Duration set Time cal currentTimeMillis current Time Millis Format returns	DurationFormatUtils returns wrong result Duration Format Utils
292	Test unescape void test testNumberOverflow test Number Overflow Unescape Exception doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml reference	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf Builder length noticed LANG places usages reference	StrBuilder usages thisBuf length size Str Builder Buf
299	appendFixedWidthPadRight append Fixed Width Pad str width append StrBuilder Str Builder method size pad Width Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils throws numeric isDigits Digits fine substring Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set availableLocaleSet Locale Set LocaleUtils Locale Utils Set initialized lang pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch suspend Watch Time pause acts time resume doesn sleep	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils variant strings country case string code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar behaves Time incorrectly seconds test TimeZone Time Zone testCalendar test Calendar getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script Escape Java escape String Script script StringEscapeUtils String Escape Utils Utils uncorrectly	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case String StringIndexOutOfBoundsException String Bounds Exception false test statement Utils	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance getDateInstance Instance Locale locale FastDateFormat Fast Format Instance key Fast Format case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction Summary infinite pretty numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big don compareTo compare comparing Decimal correctly equals BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width null Null handle nulls Fixed Str Builder getNullText Null Text append	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string abbreviate str upper WordUtils Word Utils greater Word String substring	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs html case Bug intended string String handling Common	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String createNumber create Number Number Bounds thows throws NumberUtils Number Utils don place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended format ExtendedMessageFormat Extended Message Format String Message formatRegistry format Registry formatted formattedPattern formatted Pattern DummyFormatFactory Dummy Format Factory	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String characters StringEscapeUtils String Escape Utils incorrectly escape utf println Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number decimal number return NumberUtils Number Utils Decimal Return BigDecimal Big Decimal Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone dateTime Time GMT cal DateFormatUtils Format Utils GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replace null replacement Utils replacementList replacement List Test result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String created org thread LANG Code application ThreadLocals Thread Locals	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class throws NPE ClassUtils Class Utils array element null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils throws String NumberFormatException Number Format Exception passed Utils Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format Format SimpleDateFormat Simple Format locale format Fast Week Locale output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN apache test getDenominator Denominator commons int Reduced FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String NumberUtils Number Utils return Digit Exp code hasExp Exp Utils	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Calendar Utils method Local cal DAY HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	year FastDateFormat Fast Format Java Format SimpleDateFormat Simple Format Fast pattern format formats adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number upper Integer case NumberFormatException Number Format Exception handle work handles	NumberUtils handle upper case hex Number Utils
747	Number Long numbers NumberUtils Number Utils Integer create createNumber create Number handle hex createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class SerializationUtils Serialization Utils Serialization ClassNotFoundException Class Exception primitive class ObjectInputStream Object Input Stream clone noformat ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code Int false null int empty exception array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws Utils confusing start Illegal IllegalArgumentException Illegal Argument Exception Exception RandomUtils Random Utils lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils behaviour BigDecimal Big Decimal leading create Big nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
