59	DateUtils Utils Calendar method MDT switching truncate dealing MST hour oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum Valued enums Object values typesafe int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	getTimeInMillis Time Millis Duration currentTimeMillis current Time Millis DurationFormatUtils Duration Format Utils Calendar result Format returns MONTH DECEMBER	DurationFormatUtils returns wrong result Duration Format Utils
292	testNumberOverflow test Number Overflow unescapeXml unescape Xml xFFFF FFFF EntitiesTest Entities Test Number unescape FFFF Test Xml test	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Buf usages Builder size reference places	StrBuilder usages thisBuf length size Str Builder Buf
299	append str appendFixedWidthPadRight append Fixed Width Pad ArrayIndexOutOfBoundsException Array Bounds Exception width padChar pad Char Fixed Array Char Width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberUtils Number Utils NumberFormatException Number Format Exception Digits throws digit works string numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set FindBugs Find Bugs initialized constructor lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch pause Time suspend getTime Time continue acts System	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country PropertyConverter Property Converter String strings toString String variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds getTimeZone Time Zone Jul TimeZone Time Zone testCalendar test Calendar GMT getTime Time behaves	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script String escape Java Escape JavaScriptUtils Java Script Utils Javascript JavascriptEscape Javascript Escape javaScriptEscape java Script Escape Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils Utils toBoolean Boolean Exception false statement case assert method	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale FastDateFormat Fast Format Instance HashMap Hash Map locale Hash Time items	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
