59	DateUtils Utils MDT truncate hour oct result Calendar assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Valued typesafe Enum compare int Object enums commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	result DurationFormatUtils Duration Format Utils Calendar Duration set Time getTimeInMillis Time Millis cal currentTimeMillis current Time Millis returns	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape testNumberOverflow test Number Overflow Test Unescape Number test xFFFF FFFF EntitiesTest Entities Test unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length Builder LANG places noticed usages reference	StrBuilder usages thisBuf length size Str Builder Buf
299	append str appendFixedWidthPadRight append Fixed Width Pad method width ArrayIndexOutOfBoundsException Array Bounds Exception StrBuilder Str Builder Array pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils throws numeric isDigits Digits fine substring Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils initialized Set lang availableLocaleSet Locale Set pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch suspend Time pause acts time doesn shouldn counter	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils variant strings country case string code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar behaves incorrectly seconds TimeZone Time Zone test Time testCalendar test Calendar getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	Escape escape escapeJavaScript escape Java Script String script Java JavaScriptUtils Java Script Utils StringEscapeUtils String Escape Utils uncorrectly Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case false statement String test invalid Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance FastDateFormat Fast Format key case test Fast	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction Summary infinite pretty numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big don Decimal comparing compareTo compare correctly BigDecimals Big Decimals equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width null Null handle nulls Fixed Str Builder append getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils string upper abbreviate str Word length greater String substring	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs html case Bug intended string String handling Common	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number String Number digit thows Bounds NumberUtils Number Utils LANG don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format ExtendedMessageFormat Extended Message Format Extended format Message String formatRegistry format Registry custom pattern code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String characters StringEscapeUtils String Escape Utils incorrectly utf println escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number decimal return NumberUtils Number Utils Decimal Return True chars	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
