59	MDT Utils switching DateUtils Utils hour method Calendar dealing DST Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum typesafe Enum values compareTo compare classes int Valued lang compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration getTimeInMillis Time Millis DurationFormatUtils Duration Format Utils Time set currentTimeMillis current Time Millis result String Format	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test Test doTestUnescapeEntity Test Unescape Entity testNumberOverflow test Number Overflow reference Entity entity unescape xFFFF FFFF	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG Buf size shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	str width size obj padChar pad Char pad Char Str Width ArrayIndexOutOfBoundsException Array Bounds Exception	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception createNumber create Number string Format digit substring works numeric NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception FindBugs Find Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils initialized Bugs availableLocaleSet Locale Set Exception	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time StopWatch Watch counter shouldn pause getTime Time Watch acts bug	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country POSIX LocaleUtils Locale Utils case PropertyConverter Property Converter code string	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test testCalendar test Calendar Jul seconds Mon CDT Time DateUtils Utils	Dates behaves incorrectly minutes seconds
363	String Utils Java Escape println escape scripts escapeJavaScript escape Java Script script org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case Exception statement test String assert Utils	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance getDateTimeInstance Time Instance getDateInstance Instance Locale Hash case Format HashMap Hash Map key	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce numerator pretty Summary infinite	infinite loop Fraction reduce numerator
393	compareTo compare Big compare BigDecimal Big Decimal Decimals equals comparing Decimal BigDecimals Big Decimals don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text Null Fixed null Str Builder pointer StrBuilder Str Builder width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str String length Word substring upper StringIndexOutOfBoundsException String Bounds Exception greater abbreviate	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String Case insensitive locale string http sensitive html Bug	case insensitive string handling
