59	MST MDT DateUtils Utils truncate hour result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare Enum compare ValuedEnum Valued Enum enums int values typesafe commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration getTimeInMillis Time Millis MONTH Calendar DECEMBER result set cal Format	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF Test test FFFF Unescape doTestUnescapeEntity Test Unescape Entity unescape reference entity void	unescapeXml unescape Xml
295	length StrBuilder Str Builder Str thisBuf Buf Builder size LANG noticed places shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	pad str width strLen str Len Width Pad Char ArrayIndexOutOfBoundsException Array Bounds Exception padLen pad Len method	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number isDigits Digits Digits NumberUtils Number Utils NumberFormatException Number Format Exception fine numeric substring string createNumber create Number	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils cAvailableSet Set availableLocaleSet Locale Set initialized pointed Find apache NullPointerException Null Pointer Exception	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time suspend StopWatch Watch pause time doesn shouldn counter increase	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant case string language POSIX strings Configuration	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	TimeZone Time Zone minutes Time getTime Time seconds Calendar test CDT getTimeZone Time Zone behaves	Dates behaves incorrectly minutes seconds
363	JavaScriptUtils Java Script Utils escape javaScriptEscape java Script Escape Escape util java Java script String Spring	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean case toBoolean Boolean false String test StringIndexOutOfBoundsException String Bounds Exception statement follow	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Locale getDateInstance Instance getDateTimeInstance Time Instance locale HashMap Hash Map Instance key case test Fast	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction Summary reduce loop numerator pretty infinite	infinite loop Fraction reduce numerator
393	compare comparing compareTo compare Big BigDecimal Big Decimal don equals correctly Equals case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width Fixed handle append set Builder nulls Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
