59	MDT DateUtils Utils hour method lang Utils Calendar switching truncate dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum typesafe compare Object values Valued classes int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis set result currentTimeMillis current Time Millis Format String returns	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test unescapeXml unescape Xml test Test unescape testNumberOverflow test Number Overflow doTestUnescapeEntity Test Unescape Entity xFFFF FFFF Xml Entity	unescapeXml unescape Xml
295	length thisBuf Buf Str StrBuilder Str Builder Builder Buf size LANG usages places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width width Fixed appendFixedWidthPadRight append Fixed Width Pad method size padChar pad Char append Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils digit works string Format Utils Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception FindBugs Find Bugs Bugs cAvailableLocaleSet Locale Set Pointer Exception LocaleUtils Locale Utils constructor	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch Time acts getTime Time pause split time counter shouldn	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country PropertyConverter Property Converter POSIX strings Utils case	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds Jul testCalendar test Calendar getTimeZone Time Zone test behaves DateUtils Utils System	Dates behaves incorrectly minutes seconds
363	String Utils Java Escape escapeJavaScript escape Java Script escape StringEscapeUtils String Escape Utils script Javascripts scripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean Utils case Exception statement assert assertEquals assert Equals method	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Instance FastDateFormat Fast Format Locale locale Hash Time HashMap Hash Map case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare Big compareTo compare Decimal EqualsBuilder Equals Builder Decimals BigDecimal Big Decimal BigDecimals Big Decimals comparing don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder getNullText Null Text Str Builder pointer width Fixed handle nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
