59	MDT DateUtils Utils hour Utils Calendar DST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum typesafe compareTo compare Enum values classes int Valued lang org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Calendar DurationFormatUtils Duration Format Utils Time getTimeInMillis Time Millis set currentTimeMillis current Time Millis result String Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	test testNumberOverflow test Number Overflow EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Test reference Entity Unescape entity Number	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length Builder LANG Buf shouldn places size	StrBuilder usages thisBuf length size Str Builder Buf
299	str width ArrayIndexOutOfBoundsException Array Bounds Exception appendFixedWidthPadRight append Fixed Width Pad size Array append method pad obj	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception Format string NumberUtils Number Utils substring numeric isDigits Digits Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Locale Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Exception initialized availableLocaleSet Locale Set Pointer Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch time Watch counter shouldn pause suspend acts bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country case POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test seconds Time DateUtils Utils TimeZone Time Zone Mon CDT testCalendar test Calendar	Dates behaves incorrectly minutes seconds
363	Escape String escape javaScriptEscape java Script Escape Java script Utils scripts org Spring	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
