59	MDT hour lang DateUtils Utils MST truncate Utils buggy Equals DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum compareTo compare Valued ValuedEnum Valued Enum typesafe Object compare values classes int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration set result Format MONTH getTimeInMillis Time Millis String DECEMBER	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test xFFFF FFFF unescape EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml Entity reference Unescape	unescapeXml unescape Xml
295	length thisBuf Buf StrBuilder Str Builder Str Builder size LANG usages Buf places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width method width appendFixedWidthPadRight append Fixed Width Pad pad Char StrBuilder Str Builder Pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Format Utils Exception Digits throws digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set Pointer Exception Bugs LocaleUtils Locale Utils FindBugs Find Bugs cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch acts Time getTime Time Watch split time counter shouldn bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language country strings Utils case POSIX rejects	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds Calendar TimeZone Time Zone Time getTime Time behaves System test println	Dates behaves incorrectly minutes seconds
363	Escape escape Utils String StringEscapeUtils String Escape Utils script Java escapeJavaScript escape Java Script java javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement Exception test String source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance Locale getDateTimeInstance Time Instance locale FastDateFormat Fast Format Instance case HashMap Hash Map Time Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare Big Decimal EqualsBuilder Equals Builder compareTo compare don BigDecimal Big Decimal Decimals BigDecimals Big Decimals comparing	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Null Builder pointer width Fixed handle nulls getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str String abbreviate WordUtils Word Utils upper StringIndexOutOfBoundsException String Bounds Exception Utils Word	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string insensitive String case Case locale http sensitive intended	case insensitive string handling
457	Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String createNumber create Number Bounds Exception Utils front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended Message ExtendedMessageFormat Extended Message Format appendTo append String escapingOn escaping code pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode StringEscapeUtils String Escape Utils escapeHtml escape Html String Escape utf escape Characters println	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return NumberUtils Number Utils number point Utils dec Digit Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone format Format TimeZone Time Zone GregorianCalendar Gregorian Calendar noformat test DateFormatUtils Format Utils	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement StringUtils String Utils replaceEach replace Utils replace Test searchList search List replacementList replacement List case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals String remove org HashCodeBuilder Hash Code Builder thread Style LANG	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Object ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format Format locale format week Simple Locale SimpleDateFormat Simple Format firstDayOfWeek Day Week simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer case test MIN getDenominator Denominator factory Factory apache org	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return NumberUtils Number Utils hasDecPoint Dec Point code java Utils change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Utils Local DateUtils Utils Time assertFalse assert False Calendar class method Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java year pattern formats Javadoc format JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case NumberUtils Number Utils Integer handle upper Utils NumberFormatException Number Format Exception createNumber create Number Format	NumberUtils handle upper case hex Number Utils
747	Number Long numbers createLong create Long hex handle Integer NumberUtils Number Utils createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception ObjectInputStream Object Input Stream primitiveType primitive Type class Utils Loader noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int random code length int Random chars ends char size	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils start String throws source problem confusing lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils behaviour Big BigDecimal Big Decimal Decimal work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space treats treat FDP white parse Parser dates SimpleDateFormat Simple Format	FastDateParser handle white space properly Fast Parser
832	quotes format handle unterminated parse FastDateParser Fast Parser Simple Format works correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence work Buffer String Sequence hash Escape lookupMap lookup Map HashMap Hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
