59	MDT DateUtils Utils hour Utils Calendar DST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare typesafe Enum values Valued classes int lang compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time Calendar DurationFormatUtils Duration Format Utils set getTimeInMillis Time Millis result String currentTimeMillis current Time Millis Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	test EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Test Unescape reference Entity entity xFFFF FFFF testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	thisBuf Buf StrBuilder Str Builder length Str Builder Buf LANG shouldn places size	StrBuilder usages thisBuf length size Str Builder Buf
299	str width size pad Pad Width strLen str Len method appendFixedWidthPadRight append Fixed Width Pad obj	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Format string substring Exception isDigits Digits fine	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set Null NullPointerException Null Pointer Exception LocaleUtils Locale Utils availableLocaleSet Locale Set Exception Pointer Bugs cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time suspend counter shouldn pause acts bug getTime Time StopWatch Watch	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test seconds DateUtils Utils Mon CDT println TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	String Escape scripts escape javaScriptEscape java Script Escape script Utils org Spring JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case test String statement StringIndexOutOfBoundsException String Bounds Exception source Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance locale Locale case Instance Format methods Hash test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce pretty numerator infinite	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal Big compareTo compare Decimal compare comparing don Decimals Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null Fixed appendFixedWidth append Fixed Width null Builder pointer getNullText Null Text width handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str String Word length StringIndexOutOfBoundsException String Bounds Exception WordUtils Word Utils upper abbreviate Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug locale http Case html String insensitive Common case	case insensitive string handling
