59	MDT DAY hour switching Utils DST DateUtils Utils method Equals hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe values classes ValuedEnum Valued Enum int org compareTo compare commons apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	set Calendar Time result Duration DurationFormatUtils Duration Format Utils Period DAY String Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test Number Unescape testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG size shouldn places Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	size width Pad pad str method Char obj appendFixedWidthPadRight append Fixed Width Pad Width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception works Format createNumber create Number numeric string long fine Exception	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Null Locale NullPointerException Null Pointer Exception called Set Exception source Pointer Bugs apache	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	time Time counter shouldn acts suspend bug continue StopWatch Watch doesn	StopWatch suspend acts split Watch
328	country Locale code language toLocale Locale case LocaleUtils Locale Utils POSIX string variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	test minutes Time Calendar seconds Mon CDT wrong appears println	Dates behaves incorrectly minutes seconds
363	Escape String escape find script Utils org Spring difference Java	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	case test toBoolean Boolean statement Boolean BooleanUtils Boolean Utils follow false String Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance locale case Locale Time key getDateTimeInstance Time Instance change Format getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction pretty infinite Summary numerator	infinite loop Fraction reduce numerator
393	Big compare compareTo compare BigDecimal Big Decimal comparing correctly Decimal don Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null Fixed appendFixedWidth append Fixed Width set null handle Builder pointer getNullText Null Text width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length String str StringIndexOutOfBoundsException String Bounds Exception Word upper abbreviate Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case String case locale http handling string html Bug	case insensitive string handling
457	Number String StringIndexOutOfBoundsException String Bounds Exception front Exception place Bounds createNumber create Number Utils don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Extended format Format code ExtendedMessageFormat Extended Message Format pattern CURRENT String formatRegistry format Registry change	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters data String escape problem org escapeHtml escape Html unicode Escape byte	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number return number Point code isNumber Number Dec Exp point block	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format test format set TimeZone Time Zone noformat problem Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	case replacement Test String replaceEach replace StringUtils String Utils Utils List org replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	web org memory ToStringStyle String Style String thread created LANG application reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object Class toClass Class element NPE array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String Exception StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Utils NumberUtils Number Utils indicators passed NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week locale Week Simple Format set year FastDateFormat Fast Format Locale format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	method case Fraction MIN test Integer Reduced code void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	return Number code String change hasExp Exp allowing isNumber Number Dec Point	NumberUtils isNumber String String Number Utils Number
677	Time Calendar isSameLocalTime Local Time Local HOUR Utils DateUtils Utils DAY method assert	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern year Format Java SimpleDateFormat Simple Format Simple bug number behavior format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case NumberFormatException Number Format Exception Integer createNumber create Number Format work Utils upper Exception	NumberUtils handle upper case hex Number Utils
747	Long Number Integer numbers hex create createLong create Long handle createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class Exception class ClassNotFoundException Class Exception noformat Serialization Type SerializationUtils Serialization Utils Object ObjectInputStream Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code start array Int ends user random size Random gap	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	source Random Utils lang Argument IllegalArgumentException Illegal Argument Exception String problem Illegal identify	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number create work problem leading Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Fast FDP Simple parse dates space treat handle parsed	FastDateParser handle white space properly Fast Parser
832	format parse handle quotes Simple correctly Fast unterminated Format FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	work Char CharSequence Char Sequence String Sequence Code code CharBuffer Char Buffer implemented instances	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
