59	DateUtils Utils MDT oct truncate dealing hour result DAY hours DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum typesafe int Valued Enum compareTo compare enums Object classes values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar result DurationFormatUtils Duration Format Utils Duration set Time returns cal DAY currentTimeMillis current Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test void unescapeXml unescape Xml test testNumberOverflow test Number Overflow Exception Xml doTestUnescapeEntity Test Unescape Entity EntitiesTest Entities Test	unescapeXml unescape Xml
295	StrBuilder Str Builder Str length thisBuf Buf noticed Builder LANG size places usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str StrBuilder Str Builder width method appendFixedWidthPadRight append Fixed Width Pad append strLen str Len int Char Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils throws string numeric digit substring fine	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null commons initialized cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Set lang cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend StopWatch Watch Watch pause sleep acts time resume Thread	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils variant country Utils strings tests case	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar Time behaves testCalendar test Calendar produces test incorrectly appears Mon	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script String Escape Java Utils Script escape script str StringEscapeUtils String Escape Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case BooleanUtils Boolean Utils toBoolean Boolean false String statement invalid Utils Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Instance Hash key Format FastDateFormat Fast Format Locale methods changed	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction infinite reduce numerator pretty Summary	infinite loop Fraction reduce numerator
393	compare Big BigDecimal Big Decimal don BigDecimals Big Decimals EqualsBuilder Equals Builder Equals compareTo compare comparing equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder null handle Builder Null Str append exception nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str upper string abbreviate WordUtils Word Utils greater String Word throw	WordUtils abbreviate bug greater str length Word Utils
432	insensitive handling string sensitive String Bugs case html Case intended	case insensitive string handling
457	createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Number NumberUtils Number Utils throws Bounds place Utils thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format String Extended ExtendedMessageFormat Extended Message Format code custom pattern Message formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String characters unicode StringEscapeUtils String Escape Utils incorrectly println represented character commons	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number decimal number NumberUtils Number Utils return Exp Decimal chars True	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar format Format TimeZone Time Zone test change DateFormatUtils Format Utils cal GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	null String replace Utils result replaceEach replace Test replacement StringUtils String Utils replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory ToStringStyle String Style org String Hash application created Code trigger web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class ClassUtils Class Utils throws Utils NPE element array null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number throws Number StringIndexOutOfBoundsException String Bounds Exception String NumberUtils Number Utils Utils NumberFormatException Number Format Exception Exception passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format format FastDateFormat Fast Format SimpleDateFormat Simple Format Fast locale output Week Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN apache commons method test case int Equals	org apache commons lang math Fraction reduce Integer MIN
664	String Number return code isNumber Number NumberUtils Number Utils hasExp Exp Exp Digit chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils DateUtils Utils method Calendar assertFalse assert False Local work DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	Java year FastDateFormat Fast Format SimpleDateFormat Simple Format Format pattern Fast formats adjusted format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number upper case handle Utils decode work Format	NumberUtils handle upper case hex Number Utils
747	Long numbers Number Integer NumberUtils Number Utils create createNumber create Number handle hex createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class primitive SerializationUtils Serialization Utils Serialization Exception noformat ObjectInputStream Object Input Stream Object	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code Int false Array throws int Fixed String	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing Illegal lang start identify source Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number leading behaviour BigDecimal Big Decimal NumberUtils Number Utils Big check create Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space treats Fast parse Format treat parsed single	FastDateParser handle white space properly Fast Parser
832	unterminated format handled quotes FastDateParser Fast Parser handle parse SimpleDateFormat Simple Format Fast correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String code work LookupTranslator Lookup Translator equals CharBuffer Char Buffer char implemented	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
