59	MDT Equals DAY DateUtils Utils Utils DST hours hour oct dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe Enum classes values int ValuedEnum Valued Enum org compareTo compare enums Object	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Duration Time String set result getTimeInMillis Time Millis currentTimeMillis current Time Millis DAY	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test doTestUnescapeEntity Test Unescape Entity EntitiesTest Entities Test void Entity testNumberOverflow test Number Overflow reference unescape entity	unescapeXml unescape Xml
295	Str length StrBuilder Str Builder thisBuf Buf noticed Builder LANG Buf size shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	str width int size Pad Char pad padChar pad Char obj Width	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception createNumber create Number string Format substring digit works NumberUtils Number Utils numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception FindBugs Find Bugs cAvailableLocaleSet Locale Set commons LocaleUtils Locale Utils Exception cAvailableSet Set org	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn sleep suspend pause StopWatch Watch acts Watch	StopWatch suspend acts split Watch
328	Locale language toLocale Locale country LocaleUtils Locale Utils POSIX case Utils PropertyConverter Property Converter tests	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test Mon testCalendar test Calendar Jul println CDT DateUtils Utils	Dates behaves incorrectly minutes seconds
363	String Escape Utils Script Java org document scripts escapeJavaScript escape Java Script str	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case BooleanUtils Boolean Utils String toBoolean Boolean Exception statement Utils test false	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance Format locale Hash getDateTimeInstance Time Instance getDateInstance Instance methods case FastDateFormat Fast Format Locale	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction infinite reduce numerator pretty Summary	infinite loop Fraction reduce numerator
393	Big BigDecimal Big Decimal compareTo compare compare BigDecimals Big Decimals EqualsBuilder Equals Builder Equals Decimals Decimal equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text Builder Null exception null StrBuilder Str Builder Fixed pointer width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string str String upper StringIndexOutOfBoundsException String Bounds Exception substring Exception Word greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String Case http locale sensitive handling string html Bug	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number front Utils Bounds throws place NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format code String Extended ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern appendTo append formatRegistry format Registry pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters escapeHtml escape Html unicode org StringEscapeUtils String Escape Utils void problem byte escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number Exp return Decimal decimal Point chars Digit	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test TimeZone Time Zone problem GMT time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement Utils Test replacementList replacement List org replaceEach replace null case replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String application web Hash Code ToStringStyle String Style thread reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object Utils NPE element array ClassUtils Class Utils throws null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String StringIndexOutOfBoundsException String Bounds Exception Exception createNumber create Number NumberUtils Number Utils Utils NumberFormatException Number Format Exception throws exponent	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format locale format Week FastDateFormat Fast Format SimpleDateFormat Simple Format Simple output code	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN method case test void getDenominator Denominator int code	org apache commons lang math Fraction reduce Integer MIN
664	code return hasExp Exp Number Digit String java Dec Exp change	NumberUtils isNumber String String Number Utils Number
677	Time isSameLocalTime Local Time Utils Calendar method False HOUR DateUtils Utils Local assertFalse assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	Java pattern SimpleDateFormat Simple Format year Format FastDateFormat Fast Format format bug number behavior	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number case Utils NumberFormatException Number Format Exception Format NumberUtils Number Utils Integer decode upper	NumberUtils handle upper case hex Number Utils
747	Integer Number Long numbers createNumber create Number createLong create Long hex NumberUtils Number Utils create Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception Exception class ObjectInputStream Object Input Stream Serialization noformat SerializationUtils Serialization Utils Object Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code pass random int chars start char ends String	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal source lang String Argument problem IllegalArgumentException Illegal Argument Exception identify	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal createNumber create Number Big behaviour Format Decimal Exception leading Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Format Parser FDP dates parse space treat parsed treats	FastDateParser handle white space properly Fast Parser
832	format parse unterminated FastDateParser Fast Parser Format quotes SimpleDateFormat Simple Format Simple handled Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code CharBuffer Char Buffer Map char hash Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
