59	DateUtils Utils Calendar MDT MST assert truncate hour assertEquals assert Equals result oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum Valued values int typesafe commons apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Time Duration Calendar currentTimeMillis current Time Millis result getTimeInMillis Time Millis MONTH format set DurationFormatUtils Duration Format Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test xFFFF FFFF Test test FFFF unescape Unescape unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity reference	unescapeXml unescape Xml
295	thisBuf Buf length StrBuilder Str Builder Buf Str LANG Builder noticed size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad size width Pad strLen str Len Width Fixed padChar pad Char Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number isDigits Digits Digits fine numeric substring NumberFormatException Number Format Exception string	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set Locale Find initialized pointed cAvailableSet Set apache NullPointerException Null Pointer Exception	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time pause getTime Time time doesn shouldn counter increase acts	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant case PropertyConverter Property Converter string language Property POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time getTime Time test getTimeZone Time Zone seconds TimeZone Time Zone testCalendar test Calendar DateUtils Utils	Dates behaves incorrectly minutes seconds
363	String JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape Javascript javaScriptEscape java Script Escape Escape escape scripts Javascripts util	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean assert case toBoolean Boolean false String test StringIndexOutOfBoundsException String Bounds Exception statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance Locale getDateTimeInstance Time Instance locale HashMap Hash Map Hash Instance key case test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction Summary reduce loop numerator pretty infinite	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal comparing compareTo compare Decimal Big EqualsBuilder Equals Builder don Equals equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width Fixed handle append set Builder nulls Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	Word string String str WordUtils Word Utils upper abbreviate length greater Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive Bug html String string Case sensitive Common http	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number digit String LANG don Bounds place Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry formattedPattern formatted Pattern formatted escaping FORMAT ExtendedMessageFormat Extended Message Format border append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String utf characters StringEscapeUtils String Escape Utils Characters escape incorrectly displays	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Number decimal Decimal NumberUtils Number Utils isNumber Number hasDecPoint Dec Point Dec return Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone GregorianCalendar Gregorian Calendar GMT test testFormat test Format getTimeZone Time Zone format dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replace replacementList replacement List StringUtils String Utils replacement searchList search List null case assertEquals assert Equals	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread remove web webapp org created String Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws ClassUtils Class Utils NPE null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils String StringIndexOutOfBoundsException String Bounds Exception passed Exception throws argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Week FastDateFormat Fast Format Locale SimpleDateFormat Simple Format locale format output program test	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator FractionTest Fraction Test Integer case assert borderStyle border Style int test Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number hasExp Exp isNumber Number hasDecPoint Dec Point code String NumberUtils Number Utils return chars Dec	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False isSameLocalTime Local Time DateUtils Utils Assert assert Calendar Utils Time cal method	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Javadoc JDK FastDateFormat Fast Format SimpleDateFormat Simple Format Java format pattern year Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils Integer upper NumberFormatException Number Format Exception decode Format handles work	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils numbers createLong create Long Integer Long create createNumber create Number handle handles	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class ObjectInputStream Object Input Stream primitiveType primitive Type SerializationUtils Serialization Utils bug primitive classLoader class Loader SerializationUtilsTest Serialization Utils Test catch	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	empty random Int null length chars Random int size code	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils nextInt Int Int confusing throws Utils Argument lang start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils BigDecimal Big Decimal Decimal Big behaviour create leading nulll	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse FastDateParser Fast Parser parsed treat SimpleDateFormat Simple Format treats white space Fast FDP	FastDateParser handle white space properly Fast Parser
832	quotes parse format unterminated SimpleDateFormat Simple Format handle works Simple correctly Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	String Char CharSequence Char Sequence char lookupMap lookup Map StringEscapeUtils String Escape Utils hashCode hash Code HashMap Hash Map work Escape	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
